,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000024130,-0.2982708574945271,0.0,0.0,-0.30710084853455216,-0.28938951593610174,Abca3
ENSMUSG00000108311,-0.29831710165226505,0.0,0.0,-0.307146821337549,-0.2894360250423009,Gm44737
ENSMUSG00000036114,-0.2983557458476449,0.0,0.0,-0.30718523874217635,-0.2894748906755436,Rpp25l
ENSMUSG00000042046,-0.29839880929775664,0.0,0.0,-0.3072280494324022,-0.2895182009211034,Dstyk
ENSMUSG00000062046,-0.298422788313761,0.0,0.0,-0.30725188768865813,-0.2895423173759508,5730460C07Rik
ENSMUSG00000021111,-0.29842604758664387,0.0,0.0,-0.3072551278283563,-0.2895455953306497,Papola
ENSMUSG00000043131,-0.2984412005557583,0.0,0.0,-0.30727019184102883,-0.2895608351577559,Mob1a
ENSMUSG00000006215,-0.2984529852708096,0.0,0.0,-0.30728190737012323,-0.2895726874268184,Zbtb17
ENSMUSG00000041423,-0.2984947509016437,0.0,0.0,-0.30732342778084915,-0.2896146924944401,Paqr6
ENSMUSG00000039956,-0.29850699317472995,0.0,0.0,-0.3073355981690496,-0.28962700495732674,Mrap
ENSMUSG00000050747,-0.2985233779978941,0.0,0.0,-0.3073518867783437,-0.28964348372577037,Trim15
ENSMUSG00000078620,-0.29852345741507563,0.0,0.0,-0.3073519657291644,-0.28964356359831717,Gm10964
ENSMUSG00000055943,-0.2985386848851599,0.0,0.0,-0.30736710377684895,-0.28965887838253584,Emc7
ENSMUSG00000097080,-0.2985450351083651,0.0,0.0,-0.3073734167074312,-0.28966526501918977,1700086O06Rik
ENSMUSG00000045657,-0.2985451384930839,0.0,0.0,-0.30737351948500147,-0.28966536899674367,Pcdhb10
ENSMUSG00000060288,-0.298613511945532,0.0,0.0,-0.3074414913548943,-0.2897341345664606,Ppih
ENSMUSG00000044792,-0.29862177937411266,0.0,0.0,-0.3074497102197063,-0.28974244941441474,Isca1
ENSMUSG00000004842,-0.29869265251473515,0.0,0.0,-0.3075201669898004,-0.2898137291161036,Pou1f1
ENSMUSG00000078126,-0.2987672396065743,0.0,0.0,-0.3075943157875908,-0.2898887441803231,Rpl23a-ps3
ENSMUSG00000111786,-0.2987995862116672,0.0,0.0,-0.307626472281902,-0.28992127642052734,RP24-246F10.5
ENSMUSG00000028868,-0.29880807477306903,0.0,0.0,-0.30763491095012113,-0.2899298137006423,Wasf2
ENSMUSG00000061130,-0.2988691965339374,0.0,0.0,-0.3076956734148701,-0.2899912863016,Ppm1b
ENSMUSG00000000976,-0.2989051152130377,0.0,0.0,-0.3077313809172215,-0.29002741118878766,Heatr6
ENSMUSG00000043986,-0.2989723494155958,0.0,0.0,-0.30779821976279836,-0.2900950314489378,Spata31d1d
ENSMUSG00000067928,-0.2990835274776003,0.0,0.0,-0.3079087438738216,-0.29020684808787256,Zfp760
ENSMUSG00000025907,-0.2991143608863944,0.0,0.0,-0.30793939587786623,-0.2902378586384181,Rb1cc1
ENSMUSG00000097128,-0.29914608782323987,0.0,0.0,-0.3079709361338703,-0.29026976786990516,Gm26884
ENSMUSG00000028280,-0.2991528949222103,0.0,0.0,-0.30797770317744055,-0.29027661408324923,Gabrr1
ENSMUSG00000062234,-0.2991682076729609,0.0,0.0,-0.3079929258192364,-0.290292014826148,Gak
ENSMUSG00000095845,-0.29917483369443887,0.0,0.0,-0.30799951284802607,-0.2902986789243699,Gm5741
ENSMUSG00000034663,-0.2991890307582566,0.0,0.0,-0.3080136263623775,-0.2903129575751808,Bmp2k
ENSMUSG00000029594,-0.29922669092087056,0.0,0.0,-0.3080510648767921,-0.29035083418052665,Rbm19
ENSMUSG00000023953,-0.29931949519617,0.0,0.0,-0.30814332283756524,-0.2904441719448029,Polh
ENSMUSG00000020115,-0.29934272383580296,0.0,0.0,-0.308166414710295,-0.29046753414159854,Tbk1
ENSMUSG00000028600,-0.29935037715799945,0.0,0.0,-0.30817402296854934,-0.29047523147023896,Podn
ENSMUSG00000103308,-0.29938860579902327,0.0,0.0,-0.3082120264965353,-0.2905136799423535,Gm37800
ENSMUSG00000055789,-0.29939917849007625,0.0,0.0,-0.3082225369243065,-0.29052431343597596,E330017A01Rik
ENSMUSG00000050079,-0.29940401597858984,0.0,0.0,-0.3082273459238098,-0.29052917874517,Rspry1
ENSMUSG00000005699,-0.2994094221738915,0.0,0.0,-0.30823272028033094,-0.29053461603236114,Pard6a
ENSMUSG00000028719,-0.29941974469776494,0.0,0.0,-0.3082429820100579,-0.29054499792430405,Cmpk1
ENSMUSG00000029407,-0.29946961445488923,0.0,0.0,-0.30829255803205435,-0.2905951545274606,Uso1
ENSMUSG00000032407,-0.2994707700823747,0.0,0.0,-0.3082937068522735,-0.2905963168025821,U2surp
ENSMUSG00000100625,-0.2994841348055286,0.0,0.0,-0.3083069928481625,-0.2906097584069234,1700016G22Rik
ENSMUSG00000065987,-0.2994893285412165,0.0,0.0,-0.30831215598830325,-0.2906149820207608,Cd209b
ENSMUSG00000097755,-0.2995615621257825,0.0,0.0,-0.3083839640013631,-0.2906876312003399,2010110K18Rik
ENSMUSG00000074178,-0.2995888946907101,0.0,0.0,-0.3084111355074853,-0.29071512104951625,Gm10638
ENSMUSG00000045374,-0.29960356294660395,0.0,0.0,-0.3084257173238509,-0.2907298737193946,Wdr81
ENSMUSG00000072664,-0.2996581690709708,0.0,0.0,-0.308480001619755,-0.2907847941322914,Ugt3a1
ENSMUSG00000097578,-0.2997094725118187,0.0,0.0,-0.3085310026445929,-0.290836392906169,Gm26798
ENSMUSG00000084992,-0.2997190991459778,0.0,0.0,-0.3085405725274273,-0.29084607496269416,Gm13842
