,Mesenchyme_3_corr,Mesenchyme_3_pval,Mesenchyme_3_qval,Mesenchyme_3_ci_low,Mesenchyme_3_ci_high,gene_annotation
ENSMUSG00000091568,0.03595467650130649,6.132636914364736e-27,4.208175000600419e-26,0.02940161351175615,0.04250464897489376,Gm8206
ENSMUSG00000066319,0.035953369437659685,6.1586816364709054e-27,4.224865927315833e-26,0.02940030588760167,0.042503342583813636,Rtp3
ENSMUSG00000020346,0.03594970703589264,6.232244768007249e-27,4.27413613251715e-26,0.029396641915407515,0.04249968206646395,Mgat1
ENSMUSG00000056666,0.035935515646682785,6.525614477944264e-27,4.472833240158782e-26,0.029382444442634905,0.04248549797749562,Retsat
ENSMUSG00000100001,0.03593295555993185,6.579976806440075e-27,4.5088359071090357e-26,0.02937988325870785,0.04248293920740663,1810007D17Rik
ENSMUSG00000075552,0.03593132040395717,6.614933377855678e-27,4.531524673356937e-26,0.02937824740199957,0.04248130489235366,Cyp3a41b
ENSMUSG00000022781,0.03593082161313222,6.625633196753687e-27,4.5375884587641985e-26,0.029377748397428613,0.04248080635803796,Pak2
ENSMUSG00000033653,0.03592752567225191,6.696768744996361e-27,4.5850269444269567e-26,0.02937445104422629,0.04247751211205333,Vps8
ENSMUSG00000040482,0.035914519785030845,6.984938010045454e-27,4.7809924176926673e-26,0.029361439585329566,0.04246451291155455,Dxo
ENSMUSG00000037922,0.03591180948057599,7.04652031936707e-27,4.8217995228846234e-26,0.029358728120069573,0.042461804000270456,Bank1
ENSMUSG00000066232,0.03590227210341122,7.267535412365119e-27,4.970265444133382e-26,0.0293491866588772,0.04245227152481319,Ipo7
ENSMUSG00000022122,0.035898688552557824,7.352343831396382e-27,5.02686565715522e-26,0.029345601573809877,0.04244868981540721,Ednrb
ENSMUSG00000032502,0.03589806090839747,7.367298332925751e-27,5.0356878805677353e-26,0.029344973660955623,0.04244806249375145,Stac
ENSMUSG00000032329,0.03589676300875012,7.398318341799862e-27,5.055483215359594e-26,0.029343675205695013,0.04244676526099204,Hmg20a
ENSMUSG00000037816,0.03589643695024884,7.406131523428731e-27,5.059414055737958e-26,0.02934334900761599,0.04244643937002295,Fbxw17
ENSMUSG00000054723,0.03588951747112836,7.573882233694e-27,5.171133387142801e-26,0.029336426566763118,0.04243952344587304,Vmac
ENSMUSG00000049314,0.035880478640134716,7.798699541623207e-27,5.323149044924464e-26,0.029327383867841526,0.04243048925774845,Fbxw13
ENSMUSG00000049152,0.03587741285718802,7.876445668480966e-27,5.374721902516528e-26,0.02932431677321794,0.042427425049322835,Ugt3a2
ENSMUSG00000019027,0.03587382652008588,7.968368417435997e-27,5.43442726069135e-26,0.02932072890187954,0.04242384055393097,Dnah1
ENSMUSG00000052395,0.03587298617811108,7.990060892820701e-27,5.447708276604661e-26,0.02931988820043057,0.04242300064347695,Rft1
ENSMUSG00000087041,0.03586687417671929,8.149606751986553e-27,5.554945723897108e-26,0.029313773584779008,0.042416891780357006,Gm16295
ENSMUSG00000029755,0.03586076686939468,8.31218461186283e-27,5.66418974716781e-26,0.02930766366569227,0.04241078760840483,Dlx5
ENSMUSG00000034382,0.035853954300124904,8.497333061342401e-27,5.788749204275212e-26,0.029300848183636097,0.04240397853599826,AI661453
ENSMUSG00000067285,0.03585032159512956,8.597726376080005e-27,5.85551672636661e-26,0.0292972139256882,0.04240034769540641,Gm16223
