,Erythroid3_5_corr,Erythroid3_5_pval,Erythroid3_5_qval,Erythroid3_5_ci_low,Erythroid3_5_ci_high,gene_annotation
ENSMUSG00000052217,0.4137554259360438,0.0,0.0,0.4083036601497797,0.4191776770886922,Hbb-bh1
ENSMUSG00000051839,0.41359694084835497,0.0,0.0,0.40814431823869085,0.41902005546223586,Gypa
ENSMUSG00000001348,0.40262487111940815,0.0,0.0,0.39711373743593514,0.4081069692784138,Acp5
ENSMUSG00000073400,0.4019171741569861,0.0,0.0,0.3964023211739078,0.4074030229565081,Trim10
ENSMUSG00000018659,0.4016822967036623,0.0,0.0,0.3961662107865233,0.40716938886195925,Pnpo
ENSMUSG00000096982,0.4013845158813602,0.0,0.0,0.39586686788243,0.4068731833544923,Redrum
ENSMUSG00000021991,0.3922298855395392,0.0,0.0,0.38666478680695715,0.3977664194697711,Cacna2d3
ENSMUSG00000054191,0.38556274851409483,0.0,0.0,0.37996378968420574,0.3911334560102069,Klf1
ENSMUSG00000054342,0.3846376112504811,0.0,0.0,0.3790340003943174,0.3902130149727226,Kcnn4
ENSMUSG00000070803,0.3825612993633911,0.0,0.0,0.37694728902276325,0.38814720238737666,Cited4
ENSMUSG00000027078,0.3790287655129628,0.0,0.0,0.3733971929590416,0.3846324025290036,Ube2l6
ENSMUSG00000040466,0.3777739646286428,0.0,0.0,0.3721361934547362,0.38338386187172585,Blvrb
ENSMUSG00000090523,0.3738312380914857,0.0,0.0,0.36817412557780765,0.3794606722447739,Gypc
ENSMUSG00000055609,0.37294268416321463,0.0,0.0,0.36728124115047434,0.3785764933058446,Hba-x
ENSMUSG00000069917,0.36814663679987525,0.0,0.0,0.36246199969656456,0.3738038827893441,Hba-a2
ENSMUSG00000026459,0.3678984955715591,0.0,0.0,0.36221266670691643,0.37355694600171835,Myog
ENSMUSG00000041237,0.3677039720473026,0.0,0.0,0.36201720950294075,0.37336336610499676,Pklr
ENSMUSG00000063856,0.367126260145202,0.0,0.0,0.3614367276300576,0.3727884537598577,Gpx1
ENSMUSG00000025573,0.36670690602834977,0.0,0.0,0.3610153655874396,0.37237112908466224,6030468B19Rik
ENSMUSG00000027869,0.36650316943849326,0.0,0.0,0.3608106543172609,0.37216837764030647,Hsd3b6
ENSMUSG00000028332,0.36153653998493473,0.0,0.0,0.3558204340636604,0.3672255965232604,Hemgn
ENSMUSG00000026688,0.3580865380531843,0.0,0.0,0.35235423694260115,0.363791971389386,Mgst3
ENSMUSG00000030000,0.3573134829136342,0.0,0.0,0.35157757445220866,0.36302256459699495,Add2
ENSMUSG00000052187,0.3572284885034543,0.0,0.0,0.35149218390959225,0.3629379708333699,Hbb-y
ENSMUSG00000001763,0.3560076465491645,0.0,0.0,0.35026566252314334,0.3617228732979784,Tspan33
ENSMUSG00000024588,0.3556444278356608,0.0,0.0,0.3499007578945448,0.3613613598870243,Fech
ENSMUSG00000032028,0.35563627623819155,0.0,0.0,0.3498925684806382,0.36135324654137657,Nxpe2
ENSMUSG00000069919,0.35421706178798745,0.0,0.0,0.34846678347133075,0.35994067863758733,Hba-a1
ENSMUSG00000029866,0.35359050157140987,0.0,0.0,0.34783733092640334,0.35931704441384527,Kel
ENSMUSG00000104818,0.3534389543287922,0.0,0.0,0.34768508489007566,0.3591662041181975,Gm43661
ENSMUSG00000052305,0.3499347375873652,0.0,0.0,0.3441647946076803,0.35567825061036906,Hbb-bs
ENSMUSG00000027562,0.3492470140786933,0.0,0.0,0.343473935612555,0.3549937000776369,Car2
ENSMUSG00000038725,0.345483211640873,0.0,0.0,0.33969308381372226,0.3512471536812784,Pkhd1l1
ENSMUSG00000001014,0.3451959692345228,0.0,0.0,0.33940454793535213,0.3509612206243426,Icam4
ENSMUSG00000058794,0.34207497608478354,0.0,0.0,0.33626957099305915,0.3478543847262842,Nfe2
ENSMUSG00000026614,0.3414520539147516,0.0,0.0,0.3356438731858333,0.3472342730208113,Slc30a10
ENSMUSG00000073940,0.33946516165720253,0.0,0.0,0.3336481619122659,0.34525631132228946,Hbb-bt
ENSMUSG00000001542,0.3385922218575625,0.0,0.0,0.3327713639698574,0.3443872788908144,Ell2
ENSMUSG00000023216,0.3380613897502279,0.0,0.0,0.33223819065814236,0.3438588179868446,Epb42
ENSMUSG00000084796,0.3364381030182232,0.0,0.0,0.3306077676044901,0.34224275961839024,Mir142hg
ENSMUSG00000036718,0.33414476713839714,0.0,0.0,0.3283044090329902,0.33995957724429327,Micall2
ENSMUSG00000005161,0.33340593752375963,0.0,0.0,0.327562365263374,0.339224004121753,Prdx2
ENSMUSG00000023926,0.3303873438437789,0.0,0.0,0.3245307145855554,0.3362186413880872,Rhag
ENSMUSG00000008843,0.3242122587081877,0.0,0.0,0.31832929380489355,0.33007025256841466,Cldn13
ENSMUSG00000000244,0.32251810307897144,0.0,0.0,0.31662800091703924,0.3283833342702475,Tspan32
ENSMUSG00000026532,0.3223277363641854,0.0,0.0,0.3164368345802189,0.3281937784522249,Spta1
ENSMUSG00000026815,0.3174756521525637,0.0,0.0,0.3115645310392018,0.32336220296767987,Gfi1b
ENSMUSG00000039910,0.31716978779355576,0.0,0.0,0.31125740251369227,0.32305762114808184,Cited2
ENSMUSG00000006574,0.3161352586126575,0.0,0.0,0.3102186066784168,0.3220274208779684,Slc4a1
ENSMUSG00000020440,0.3159330847208922,0.0,0.0,0.310015600621861,0.32182609133794005,Arf5
ENSMUSG00000028132,0.31422660206371417,0.0,0.0,0.30830211543689695,0.320126714339781,Tmem56
ENSMUSG00000059895,0.31197547271928017,0.0,0.0,0.3060418074184122,0.31788490043872847,Ptp4a3
ENSMUSG00000059336,0.3115591503630303,0.0,0.0,0.30562379489401004,0.3174702936342873,Slc14a1
ENSMUSG00000045648,0.31081098043844196,0.0,0.0,0.30487259333058797,0.31672520103537993,Vwc2l
ENSMUSG00000032456,0.30992255679373837,0.0,0.0,0.30398057932511785,0.31584042211951974,Nmnat3
ENSMUSG00000062729,0.30984117620217383,0.0,0.0,0.30389887037341096,0.3157593748745947,Ppox
ENSMUSG00000036825,0.3073135473123356,0.0,0.0,0.3013610863514136,0.3132420565204858,Ssx2ip
ENSMUSG00000031543,0.3043125735130632,0.0,0.0,0.2983481651791034,0.31025321591576893,Ank1
ENSMUSG00000023328,0.3027465781477562,0.0,0.0,0.2967759825238917,0.30869350537025225,Ache
ENSMUSG00000022742,0.3022574136508768,0.0,0.0,0.2962848919589481,0.3082062974851821,Cpox
ENSMUSG00000073063,0.30127920515857637,0.0,0.0,0.29530284127698486,0.30723199237446935,Hbq1b
