,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000040752,0.6214630030407894,0.0,0.0,0.6174201010403609,0.6254730747112579,Myh6
ENSMUSG00000002100,0.6134875159950546,0.0,0.0,0.6093799536973789,0.617562149237322,Mybpc3
ENSMUSG00000024803,0.6045770472279516,0.0,0.0,0.6003982433749276,0.6087228355481459,Ankrd1
ENSMUSG00000021702,0.593330388443267,0.0,0.0,0.5890631694789099,0.5975645180675716,Thbs4
ENSMUSG00000108322,0.5907544861965616,0.0,0.0,0.5864672532149466,0.595008618414874,Gm45123
ENSMUSG00000060843,0.5805959411409517,0.0,0.0,0.5762306376824702,0.5849281184344247,Ctnna3
ENSMUSG00000061086,0.5557318484189203,0.0,0.0,0.5511812368204302,0.560249401120681,Myl4
ENSMUSG00000020155,0.5511898455789631,0.0,0.0,0.5466062690569594,0.5557403948909969,Kcnmb1
ENSMUSG00000021200,0.5508613269491347,0.0,0.0,0.546275376717301,0.5554142524911683,Asb2
ENSMUSG00000062077,0.5497318203149375,0.0,0.0,0.5451377197589473,0.5542929050800512,Trim54
ENSMUSG00000072720,0.5489559421070819,0.0,0.0,0.5443562527516164,0.5535226219943838,Myo18b
ENSMUSG00000091898,0.5427516556949187,0.0,0.0,0.5381075628372362,0.5473627957619629,Tnnc1
ENSMUSG00000015579,0.539170468000752,0.0,0.0,0.5345009772681659,0.5438070435765341,Nkx2-5
ENSMUSG00000021373,0.5377225735946345,0.0,0.0,0.53304286263402,0.5423693856290548,Cap2
ENSMUSG00000015365,0.5372347046145035,0.0,0.0,0.5325515562023291,0.5418849597005972,Mov10l1
ENSMUSG00000085271,0.535623523332736,0.0,0.0,0.5309290451999205,0.5402851271025755,E130006D01Rik
ENSMUSG00000022358,0.5355954243609466,0.0,0.0,0.5309007489433772,0.5402572257526327,Fbxo32
ENSMUSG00000068614,0.5354619411659164,0.0,0.0,0.530766328696923,0.5401246812133567,Actc1
ENSMUSG00000018845,0.534706011912792,0.0,0.0,0.5300050972809659,0.5393740633014726,Unc45b
ENSMUSG00000051747,0.5339666512694129,0.0,0.0,0.5292605580176307,0.5386398904079197,Ttn
ENSMUSG00000053093,0.531001746911609,0.0,0.0,0.5262749597215988,0.535695718112066,Myh7
ENSMUSG00000027961,0.5308176869152612,0.0,0.0,0.5260896188964838,0.5355129413907944,Lrrc39
ENSMUSG00000026418,0.5287331428976498,0.0,0.0,0.523990600390697,0.5334429002140377,Tnni1
ENSMUSG00000102408,0.5264677898349333,0.0,0.0,0.5217095826695831,0.5311932439667653,4930568G15Rik
ENSMUSG00000020469,0.5260202681240062,0.0,0.0,0.5212589744441385,0.5307488152882214,Myl7
ENSMUSG00000026414,0.5230123769487317,0.0,0.0,0.5182304070185441,0.5277616455806073,Tnnt2
ENSMUSG00000030470,0.5228985672128813,0.0,0.0,0.5181158173090616,0.5276486175773459,Csrp3
ENSMUSG00000111765,0.5162062618440032,0.0,0.0,0.5113779493519838,0.5210019843517179,RP24-279F18.1
