,Endothelial_2_corr,Endothelial_2_pval,Endothelial_2_qval,Endothelial_2_ci_low,Endothelial_2_ci_high,gene_annotation
ENSMUSG00000032652,-0.16127908190687576,5.018484975535321e-236,7.358482368820118e-236,-0.1707317964198834,-0.15179668296311286,Crebl2
ENSMUSG00000000394,-0.1617081165327383,2.705465591330328e-237,3.9722002515494466e-237,-0.17115944682243261,-0.15222702707991256,Gcg
ENSMUSG00000037820,-0.16185642335911593,9.839493062265831e-238,1.4450716789933664e-237,-0.17130727432820098,-0.15237578740158048,Tgm2
ENSMUSG00000049409,-0.16202205559099916,3.175982912305259e-238,4.666445654283366e-238,-0.17147237074157023,-0.15254192661448082,Prokr1
ENSMUSG00000003585,-0.1621579418509454,1.25481056181458e-238,1.844224811602851e-238,-0.1716078170145543,-0.15267822920659507,Sec14l2
ENSMUSG00000060508,-0.16217272006522296,1.1342159413289109e-238,1.6672290773613273e-238,-0.17162254735682153,-0.1526930527205272,Nlrp9b
ENSMUSG00000017009,-0.16241967091983828,2.0929880863925764e-239,3.0797352654393412e-239,-0.17186869762256538,-0.1529407611846929,Sdc4
ENSMUSG00000025854,-0.16250396766772382,1.1748062173659432e-239,1.7289274722088937e-239,-0.17195272081908464,-0.15302531681551068,Fam20c
ENSMUSG00000041828,-0.16300226442800975,3.8422252980800445e-241,5.6611541153382125e-241,-0.17244939774835466,-0.15352514672521253,Abca8a
ENSMUSG00000030838,-0.16308861493696003,2.1216986383288732e-241,3.127503889046098e-241,-0.17253546706627235,-0.15361176340868646,Ush1c
ENSMUSG00000047040,-0.16311081404657618,1.821205664641444e-241,2.684956014508984e-241,-0.17255759386359454,-0.15363403097035414,Prr15l
ENSMUSG00000040413,-0.16336607906906117,3.14053730852655e-242,4.634111418808544e-242,-0.17281202669014925,-0.1538900838068356,Timd2
ENSMUSG00000022150,-0.16357586555300602,7.390817865333568e-243,1.0910566674540253e-242,-0.17302112830015118,-0.15410051869899966,Dab2
ENSMUSG00000041757,-0.16391491484948567,7.10250873173057e-244,1.0500456433664355e-243,-0.17335906892822056,-0.1544406177465704,Plekha6
ENSMUSG00000025497,-0.16425771055455804,6.6159948265305706e-245,9.792769133408187e-245,-0.17370074145344114,-0.15478447708487203,Cdhr5
ENSMUSG00000038151,-0.16429124744022577,5.243518915814325e-245,7.76242622622402e-245,-0.17373416833246758,-0.15481811815270413,Prdm1
ENSMUSG00000091971,-0.1643349390798104,3.872965247960295e-245,5.7343281728757695e-245,-0.1737777166234662,-0.15486194555309776,Hspa1a
ENSMUSG00000019989,-0.16449275912362096,1.295535492089453e-245,1.918743323592199e-245,-0.17393501856539148,-0.15502025629369198,Enpp3
