,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000052609,0.5305334645176352,0.0,0.0,0.5235128410045662,0.5374820490862813,Plekhg3
ENSMUSG00000053475,0.5304434869019398,0.0,0.0,0.5234219368045889,0.5373930007037631,Tnfaip6
ENSMUSG00000039809,0.530393066492867,0.0,0.0,0.5233709972389387,0.537343100937748,Gabbr2
ENSMUSG00000056656,0.530390969116328,0.0,0.0,0.5233688782677315,0.5373410252177445,Apol8
ENSMUSG00000022479,0.5303596851639176,0.0,0.0,0.5233372722248727,0.537310064278895,Vdr
ENSMUSG00000030739,0.5303556920242731,0.0,0.0,0.5233332379744178,0.5373061123679311,Myh14
ENSMUSG00000107714,0.5302753388812624,0.0,0.0,0.5232520576337703,0.5372265887964711,Gm44398
ENSMUSG00000003271,0.5302093578810089,0.0,0.0,0.5231853974856083,0.5371612888963389,Sult2b1
ENSMUSG00000029135,0.5301701422136211,0.0,0.0,0.5231457782088259,0.5371224779998792,Fosl2
ENSMUSG00000024074,0.5301357123148198,0.0,0.0,0.5231109939810031,0.5370884034506449,Crim1
ENSMUSG00000021003,0.5300903633034635,0.0,0.0,0.5230651783042839,0.5370435224499404,Galc
ENSMUSG00000097648,0.5299801210390569,0.0,0.0,0.5229538017578645,0.5369344177430634,9330185C12Rik
ENSMUSG00000018796,0.5299489972758656,0.0,0.0,0.522922357805888,0.5369036150947283,Acsl1
ENSMUSG00000040339,0.5299301053466682,0.0,0.0,0.5229032715334317,0.5368849180711927,Fam102b
ENSMUSG00000022451,0.5298360724706476,0.0,0.0,0.5228082714361636,0.5367918552189203,Twf1
ENSMUSG00000002108,0.5297990277253737,0.0,0.0,0.5227708456969323,0.5367551925731221,Nr1h3
ENSMUSG00000004207,0.5297779100698018,0.0,0.0,0.522749510864809,0.5367342927246803,Psap
ENSMUSG00000029377,0.5296753046110412,0.0,0.0,0.5226458503242787,0.536632745415327,Ereg
ENSMUSG00000052477,0.5296586006751138,0.0,0.0,0.5226289746431053,0.5366162137246487,C130026I21Rik
ENSMUSG00000019890,0.5296012258398303,0.0,0.0,0.5225710099375995,0.5365594304782781,Nts
ENSMUSG00000063651,0.5295856097993916,0.0,0.0,0.5225552333600256,0.5365439754431032,Cnfn
