,train_loss,val_loss
0,2117.577392578125,2067.5009765625
1,2065.053466796875,2054.211669921875
2,2054.314697265625,2048.667236328125
3,2048.453369140625,2045.5943603515625
4,2044.676513671875,2043.4324951171875
5,2041.970703125,2042.1607666015625
6,2039.8812255859375,2041.191650390625
7,2038.3062744140625,2040.430908203125
8,2037.054931640625,2040.45458984375
9,2036.066162109375,2040.110107421875
10,2035.2288818359375,2039.885009765625
11,2034.602294921875,2039.7315673828125
12,2033.9608154296875,2039.697265625
13,2033.48291015625,2039.8795166015625
14,2033.08740234375,2039.7593994140625
15,2032.7095947265625,2039.77392578125
16,2032.531494140625,2040.1427001953125
17,2032.4058837890625,2040.318115234375
18,2032.1055908203125,2040.22314453125
19,2031.8001708984375,2040.522705078125
20,2031.6357421875,2040.614501953125
21,2031.5655517578125,2040.790283203125
22,2031.4263916015625,2041.0498046875
23,2031.34912109375,2041.2275390625
24,2031.295654296875,2041.7025146484375
25,2031.9388427734375,2041.8363037109375
26,2031.3070068359375,2041.841796875
27,2031.23828125,2042.156494140625
28,2031.4305419921875,2042.467041015625
29,2031.228759765625,2042.5850830078125
30,2031.337890625,2043.1319580078125
31,2031.7091064453125,2043.3975830078125
32,2031.4381103515625,2043.4073486328125
33,2031.39013671875,2043.638916015625
34,2031.747314453125,2044.4732666015625
35,2031.784423828125,2044.3436279296875
36,2031.6405029296875,2045.22900390625
37,2032.1190185546875,2044.755859375
38,2032.224609375,2045.0302734375
39,2032.0728759765625,2045.267822265625
40,2032.03515625,2045.524169921875
41,2032.04931640625,2045.8424072265625
42,2032.1746826171875,2046.1256103515625
43,2032.41162109375,2046.2998046875
44,2032.353271484375,2046.53564453125
45,2032.5399169921875,2046.757568359375
46,2032.594482421875,2046.912109375
47,2032.6597900390625,2047.3656005859375
48,2032.733642578125,2047.738525390625
49,2033.009765625,2047.769775390625
50,2033.0853271484375,2048.0146484375
51,2033.2655029296875,2048.41650390625
52,2033.865966796875,2048.58447265625
53,2034.0946044921875,2049.03173828125
54,2033.6907958984375,2048.966796875
55,2034.0537109375,2049.29833984375
56,2033.9962158203125,2049.465087890625
57,2034.0655517578125,2049.73095703125
58,2034.1248779296875,2050.001220703125
59,2034.8775634765625,2050.761962890625
