,train_recon_loss,val_recon_loss
0,2117.577392578125,2067.5009765625
1,2063.852783203125,2053.364990234375
2,2053.0185546875,2047.50732421875
3,2046.90380859375,2044.1463623046875
4,2042.8516845703125,2041.67626953125
5,2039.834716796875,2040.0927734375
6,2037.417724609375,2038.7662353515625
7,2035.5003662109375,2037.6839599609375
8,2033.9149169921875,2037.383056640625
9,2032.59716796875,2036.6983642578125
10,2031.4483642578125,2036.1416015625
11,2030.515380859375,2035.7152099609375
12,2029.56201171875,2035.350341796875
13,2028.778564453125,2035.2493896484375
14,2028.083740234375,2034.8531494140625
15,2027.412353515625,2034.597900390625
16,2026.951171875,2034.6796875
17,2026.5389404296875,2034.555419921875
18,2025.9630126953125,2034.2027587890625
19,2025.377685546875,2034.22314453125
20,2024.9417724609375,2034.039794921875
21,2024.599853515625,2033.9239501953125
22,2024.194580078125,2033.968994140625
23,2023.8515625,2033.8619384765625
24,2023.53857421875,2034.0616455078125
25,2023.9290771484375,2033.9798583984375
26,2023.046142578125,2033.74365234375
27,2022.71484375,2033.82080078125
28,2022.6632080078125,2033.849609375
29,2022.218505859375,2033.6776123046875
30,2022.0789794921875,2034.033935546875
31,2022.2122802734375,2034.1317138671875
32,2021.7008056640625,2033.8739013671875
33,2021.4183349609375,2033.84033203125
34,2021.53125,2034.31982421875
35,2021.342041015625,2034.120849609375
36,2020.9803466796875,2034.8934326171875
37,2021.2216796875,2034.096435546875
38,2021.0977783203125,2034.149658203125
39,2020.7293701171875,2034.06884765625
40,2020.462646484375,2034.1529541015625
41,2020.258056640625,2034.233154296875
42,2020.1630859375,2034.337890625
43,2020.185546875,2034.221435546875
44,2019.9144287109375,2034.2779541015625
45,2019.874755859375,2034.3330078125
46,2019.7265625,2034.2802734375
47,2019.580322265625,2034.4931640625
48,2019.4471435546875,2034.73388671875
49,2019.51318359375,2034.41845703125
50,2019.3853759765625,2034.558349609375
51,2019.361083984375,2034.787841796875
52,2019.7691650390625,2034.6356201171875
53,2019.7960205078125,2034.946044921875
54,2019.2015380859375,2034.7825927734375
55,2019.3536376953125,2034.825439453125
56,2019.105224609375,2034.7940673828125
57,2018.9755859375,2034.8798828125
58,2018.8399658203125,2034.9166259765625
59,2019.3995361328125,2035.5426025390625
