,train_elbo,val_elbo
0,3166.0166015625,3813.380859375
1,2543.571044921875,2391.37890625
2,2312.529052734375,2279.56396484375
3,2252.845458984375,2237.263916015625
4,2225.4228515625,2217.357177734375
5,2210.88037109375,2205.7255859375
6,2202.136962890625,2200.50732421875
7,2195.841552734375,2194.62158203125
8,2190.7734375,2190.90087890625
9,2186.544677734375,2188.23193359375
10,2182.752685546875,2185.843017578125
11,2179.374267578125,2181.7685546875
12,2176.2998046875,2180.244384765625
13,2173.541015625,2177.76513671875
14,2170.979736328125,2175.025146484375
15,2168.587158203125,2172.615478515625
16,2166.51513671875,2171.285400390625
17,2164.536865234375,2170.16943359375
18,2162.550048828125,2168.00634765625
19,2160.5888671875,2166.85595703125
20,2158.83935546875,2165.51025390625
21,2157.2939453125,2164.72216796875
22,2155.673828125,2162.681396484375
23,2154.151123046875,2161.939453125
24,2152.79443359375,2161.383056640625
25,2152.15380859375,2159.6689453125
26,2150.116455078125,2158.322509765625
27,2148.86962890625,2157.30419921875
28,2147.87646484375,2156.966064453125
29,2146.509521484375,2156.53564453125
30,2145.5029296875,2155.338623046875
31,2144.719970703125,2153.682861328125
32,2143.362060546875,2153.030517578125
33,2142.265625,2152.597900390625
34,2141.704345703125,2153.7607421875
35,2140.633544921875,2150.97900390625
36,2139.46484375,2149.736083984375
37,2139.001220703125,2149.317138671875
38,2138.19677734375,2148.701416015625
39,2137.063720703125,2148.93115234375
40,2136.1484375,2147.894775390625
41,2135.290283203125,2147.495361328125
42,2134.55615234375,2146.592529296875
43,2133.88330078125,2146.57177734375
44,2132.993896484375,2145.7294921875
45,2132.4013671875,2144.78076171875
46,2131.615966796875,2144.119873046875
47,2130.881103515625,2144.045654296875
48,2130.195556640625,2143.104248046875
49,2129.698974609375,2143.406982421875
50,2128.998046875,2142.206298828125
51,2128.410888671875,2141.6884765625
52,2128.20751953125,2141.933837890625
53,2127.742431640625,2141.26025390625
54,2126.541748046875,2139.857666015625
55,2126.230224609375,2140.085205078125
56,2125.46337890625,2139.57861328125
57,2124.880615234375,2139.10302734375
58,2124.266357421875,2138.953369140625
59,2124.321533203125,2138.72998046875
