,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000097248,0.48107515196396294,0.0,0.0,0.47601739463521614,0.486101086654042,Gm2694
ENSMUSG00000036800,0.4810347846254177,0.0,0.0,0.475976773057746,0.4860609746167822,Fam135b
ENSMUSG00000021265,0.48093481622212775,0.0,0.0,0.47587617513291663,0.48596163836767514,Slc25a29
ENSMUSG00000067299,0.4809223700944082,0.0,0.0,0.4758636506386434,0.4859492709344488,Crygd
ENSMUSG00000054598,0.4808520762920671,0.0,0.0,0.4757929142726557,0.48587942154862784,9130230L23Rik
ENSMUSG00000039903,0.4807782018107992,0.0,0.0,0.47571857475462775,0.485806014052699,Eva1c
ENSMUSG00000063882,0.4807498008579711,0.0,0.0,0.4756899950382288,0.4857777926129312,Uqcrh
ENSMUSG00000034818,0.4806086006424824,0.0,0.0,0.47554790622752663,0.4856374847218435,Celf5
ENSMUSG00000090023,0.48060644211425196,0.0,0.0,0.47554573411738693,0.48563533983256874,Gm16302
ENSMUSG00000021886,0.4804854126419357,0.0,0.0,0.4754239432011542,0.4855150750046376,Gpr65
ENSMUSG00000045350,0.4802916497891292,0.0,0.0,0.475228961714103,0.4853225359174518,Fam186a
ENSMUSG00000053819,0.47994761816128567,0.0,0.0,0.4748827675906286,0.4849806759190897,Camk2d
ENSMUSG00000000983,0.4799025956139655,0.0,0.0,0.47483746215897893,0.484935937453594,Wfdc18
ENSMUSG00000009588,0.4798454903624773,0.0,0.0,0.4747799981440941,0.48487919248509187,St6galnac1
ENSMUSG00000055632,0.4798354954786583,0.0,0.0,0.4747699404719191,0.484869260655679,Hmcn2
ENSMUSG00000091119,0.4797297620043136,0.0,0.0,0.47466354285567364,0.4847641941392324,Ccdc152
ENSMUSG00000097545,0.47969458488128863,0.0,0.0,0.47462814480799953,0.484729238878342,Mir124a-1hg
ENSMUSG00000054072,0.4794027570106825,0.0,0.0,0.4743344847881228,0.48443925094616297,Iigp1
ENSMUSG00000060257,0.47929346607534207,0.0,0.0,0.4742245079944046,0.4843306487917038,Scrt2
ENSMUSG00000108379,0.479253401583739,0.0,0.0,0.47418419211656815,0.48429083675842244,A730082K24Rik
ENSMUSG00000025400,0.47924607536844044,0.0,0.0,0.4741768199349417,0.48428355670553735,Tac2
ENSMUSG00000043164,0.4790749982189336,0.0,0.0,0.47400466961090526,0.4841135573132048,Tmem212
ENSMUSG00000050085,0.4788499085130467,0.0,0.0,0.473778168497832,0.48388988505501357,Olfr622
ENSMUSG00000020062,0.4788455580906586,0.0,0.0,0.47377379080307436,0.4838855620218664,Slc5a8
ENSMUSG00000025586,0.47845187038439724,0.0,0.0,0.4733776361450236,0.48349435186293976,Cpeb1
ENSMUSG00000042289,0.4783159374550508,0.0,0.0,0.4732408519005463,0.4833592739160612,Hsd3b7
ENSMUSG00000026679,0.4782850753523143,0.0,0.0,0.4732097965499955,0.483328605894404,Enkur
ENSMUSG00000097384,0.4781605664556876,0.0,0.0,0.4730845081498171,0.48320487986541066,Gm26815
ENSMUSG00000014609,0.47815691471717686,0.0,0.0,0.4730808335522389,0.48320125108469086,Chrne
ENSMUSG00000091996,0.47805619157672025,0.0,0.0,0.47297947997703266,0.4831011611032943,BC049352
ENSMUSG00000067071,0.47799769578503776,0.0,0.0,0.472920618116861,0.4830430329634165,Hes6
ENSMUSG00000002033,0.477975095903616,0.0,0.0,0.4728978768168124,0.4830205751125626,Cd3g
ENSMUSG00000022878,0.4779506142045613,0.0,0.0,0.47287324193130054,0.48299624726300266,Adipoq
ENSMUSG00000063275,0.4778296990425339,0.0,0.0,0.47275157029746145,0.48287609184970015,Hacd1
ENSMUSG00000042757,0.4777646968911612,0.0,0.0,0.47268616155837706,0.48281149804914875,Tmem108
ENSMUSG00000076434,0.4777581169205089,0.0,0.0,0.47267954043320265,0.4828049594115509,Wfdc3
ENSMUSG00000103181,0.477727011458851,0.0,0.0,0.47264824042974496,0.4827740493358126,A330069K06Rik
ENSMUSG00000105952,0.4776597591037112,0.0,0.0,0.4725805675043566,0.4827072193767878,Gm42563
ENSMUSG00000038742,0.47753436318966624,0.0,0.0,0.47245438757267133,0.4825826108877961,Angptl6
ENSMUSG00000018930,0.4775275477028265,0.0,0.0,0.47244752947907087,0.48257583819302696,Ccl4
ENSMUSG00000087289,0.47749960712295536,0.0,0.0,0.47241941423614164,0.4825480730360252,4933424M12Rik
ENSMUSG00000036951,0.4774452798713699,0.0,0.0,0.4723647474018761,0.4824940868450366,C130079G13Rik
ENSMUSG00000023041,0.47729235899293293,0.0,0.0,0.472210870872654,0.48234212578134605,Krt6b
ENSMUSG00000075225,0.47728999165499497,0.0,0.0,0.47220848874290916,0.48233977329972183,Ccdc162
ENSMUSG00000024771,0.4772751069706875,0.0,0.0,0.47219351105652224,0.48232498202311297,Lipk
ENSMUSG00000050994,0.477149680833291,0.0,0.0,0.47206730135148073,0.4822003428734901,Adgb
ENSMUSG00000006344,0.477125237720927,0.0,0.0,0.47204270556129446,0.48217605310591627,Ggt5
ENSMUSG00000072235,0.4770232527335569,0.0,0.0,0.47194008363544326,0.48207470784143236,Tuba1a
ENSMUSG00000003665,0.47688735219661754,0.0,0.0,0.47180333455744133,0.4819396595599087,Has1
ENSMUSG00000102263,0.4768032949259398,0.0,0.0,0.47171875256913326,0.4818561293065414,Gm31415
ENSMUSG00000096330,0.47674480983238415,0.0,0.0,0.4716599024444589,0.48179801084519497,Gm21976
ENSMUSG00000041991,0.4767333430057678,0.0,0.0,0.47164836405365995,0.4817866158967762,Hrnr
ENSMUSG00000074497,0.4766839674167887,0.0,0.0,0.4715986803327382,0.4817375497922428,A430078G23Rik
ENSMUSG00000039058,0.4766605303407436,0.0,0.0,0.4715750970072209,0.4817142596078718,Ak5
ENSMUSG00000111503,0.4766512332643295,0.0,0.0,0.471565741918225,0.4817050207988269,RP24-271G1.1
ENSMUSG00000039232,0.47660639205030597,0.0,0.0,0.4715206209167685,0.48166046060141443,Stx11
ENSMUSG00000047343,0.47658482128434526,0.0,0.0,0.47149891556917334,0.481639025008558,Mettl21c
ENSMUSG00000020937,0.4765597942939868,0.0,0.0,0.47147373244125806,0.4816141548421392,Plcd3
ENSMUSG00000031906,0.476441858649583,0.0,0.0,0.471355061135513,0.4814969580956188,Smpd3
ENSMUSG00000025997,0.47641045191349896,0.0,0.0,0.4713234585209149,0.48146574810053,Ikzf2
