,Blood_2_corr,Blood_2_pval,Blood_2_qval,Blood_2_ci_low,Blood_2_ci_high,gene_annotation
ENSMUSG00000069919,0.6361230659918224,0.0,0.0,0.6303000632178556,0.6418744999584416,Hba-a1
ENSMUSG00000055609,0.6254773127039317,0.0,0.0,0.619523566360845,0.631359100531389,Hba-x
ENSMUSG00000069917,0.6157909831810885,0.0,0.0,0.609720225770495,0.6217894973614564,Hba-a2
ENSMUSG00000052187,0.5992386668809458,0.0,0.0,0.5929722548241072,0.6054325002359304,Hbb-y
ENSMUSG00000073940,0.5750619135130337,0.0,0.0,0.5685194622726396,0.5815316291576352,Hbb-bt
ENSMUSG00000052305,0.5374801789831366,0.0,0.0,0.5305315748980751,0.544356554381319,Hbb-bs
ENSMUSG00000006574,0.4743144132265545,0.0,0.0,0.46674598142999996,0.4818133766269642,Slc4a1
ENSMUSG00000052217,0.4720856006854208,0.0,0.0,0.4644967354481704,0.47960513579352554,Hbb-bh1
ENSMUSG00000063856,0.46118148117108676,0.0,0.0,0.4534940595697032,0.46880028718311795,Gpx1
ENSMUSG00000023216,0.4431088267682117,0.0,0.0,0.43526321500420745,0.45088714343682096,Epb42
ENSMUSG00000070803,0.4339432106407489,0.0,0.0,0.4260198304827758,0.4418000285296793,Cited4
ENSMUSG00000040466,0.4224886709451679,0.0,0.0,0.41447042626582054,0.43044132719164674,Blvrb
ENSMUSG00000034248,0.4203321640909429,0.0,0.0,0.4122963484524089,0.4283025817190153,Slc25a37
ENSMUSG00000054191,0.4088795153757653,0.0,0.0,0.4007519183934357,0.4169427624967931,Klf1
ENSMUSG00000032126,0.4062648462987208,0.0,0.0,0.39811665722288114,0.41434893339537593,Hmbs
ENSMUSG00000008843,0.40493327866159284,0.0,0.0,0.3967746543718908,0.41302792842203845,Cldn13
ENSMUSG00000028644,0.3995503971506118,0.0,0.0,0.391349943815227,0.4076873994439815,Ermap
ENSMUSG00000029866,0.3960148072357488,0.0,0.0,0.38778718978106436,0.40417932463889505,Kel
ENSMUSG00000027562,0.393552974356527,0.0,0.0,0.385306587689017,0.4017365086849307,Car2
ENSMUSG00000027078,0.39137204714652424,0.0,0.0,0.38310913246664335,0.39957233119422625,Ube2l6
ENSMUSG00000005161,0.3888828672362829,0.0,0.0,0.38060120275644665,0.39710215670540183,Prdx2
ENSMUSG00000073063,0.38813921559839176,0.0,0.0,0.37985197318091163,0.39636415990378815,Hbq1b
ENSMUSG00000028684,0.3857796908140412,0.0,0.0,0.3774748221909579,0.3940225069247756,Urod
ENSMUSG00000069814,0.3839514464200324,0.0,0.0,0.37563299563948577,0.3922080366628524,Ccdc92b
ENSMUSG00000051839,0.38154972571094997,0.0,0.0,0.3732135322317598,0.3898243130549763,Gypa
