,train_loss,val_loss
0,5010.3544921875,4901.9736328125
1,4890.26953125,4872.70166015625
2,4870.52880859375,4863.1123046875
3,4859.91796875,4857.13720703125
4,4853.27099609375,4853.1884765625
5,4849.44873046875,4851.2900390625
6,4845.0419921875,4849.2900390625
7,4842.8251953125,4848.3369140625
8,4840.46044921875,4847.14599609375
9,4838.3671875,4846.421875
10,4837.57470703125,4846.349609375
11,4835.625,4845.62646484375
12,4835.55615234375,4846.24658203125
13,4834.18408203125,4845.423828125
14,4832.69384765625,4845.49072265625
15,4832.18896484375,4845.43408203125
16,4831.7080078125,4845.7822265625
17,4830.79345703125,4845.64111328125
18,4830.2216796875,4845.3525390625
19,4830.0771484375,4845.51513671875
20,4829.8798828125,4845.65673828125
21,4828.92578125,4846.02294921875
22,4828.6845703125,4846.0263671875
23,4828.14404296875,4846.2509765625
24,4827.91015625,4847.0673828125
25,4827.6884765625,4847.009765625
26,4827.740234375,4846.7919921875
27,4827.33984375,4847.20263671875
28,4828.40625,4847.58056640625
29,4827.31689453125,4847.6083984375
30,4826.947265625,4848.14501953125
31,4829.05615234375,4848.8037109375
32,4827.65966796875,4848.423828125
33,4826.9404296875,4849.08984375
34,4826.7802734375,4848.8603515625
35,4826.92431640625,4849.62548828125
36,4826.6162109375,4850.0986328125
37,4826.6708984375,4849.7685546875
38,4826.55078125,4850.00244140625
39,4826.453125,4850.33984375
40,4826.4658203125,4850.68505859375
41,4826.44970703125,4850.67724609375
42,4826.498046875,4851.13037109375
43,4826.52099609375,4851.26708984375
44,4827.04541015625,4857.9833984375
45,4829.40087890625,4851.96533203125
46,4827.23193359375,4852.0986328125
47,4826.85986328125,4852.3916015625
48,4826.72998046875,4852.55078125
49,4828.20556640625,4853.09423828125
50,4827.2666015625,4853.51123046875
51,4827.1455078125,4853.4052734375
52,4827.06640625,4854.0517578125
53,4827.2333984375,4853.927734375
54,4827.14990234375,4854.232421875
55,4827.50830078125,4855.009765625
56,4828.67138671875,4854.7978515625
57,4827.6640625,4855.38330078125
58,4827.65771484375,4855.76611328125
59,4829.89794921875,4855.70751953125
