,train_recon_loss,val_recon_loss
0,5014.52099609375,4910.33251953125
1,4895.734375,4876.025390625
2,4872.82861328125,4863.80810546875
3,4861.46142578125,4856.9716796875
4,4854.18359375,4853.20166015625
5,4849.001953125,4850.0595703125
6,4844.9375,4848.52392578125
7,4841.9619140625,4846.39208984375
8,4839.4580078125,4845.5751953125
9,4837.19873046875,4844.2958984375
10,4834.98388671875,4843.3681640625
11,4833.14306640625,4842.5107421875
12,4832.72705078125,4842.10009765625
13,4830.57568359375,4841.26806640625
14,4829.63427734375,4841.00439453125
15,4828.87548828125,4840.56298828125
16,4827.39013671875,4840.5166015625
17,4826.2685546875,4840.1396484375
18,4825.52783203125,4839.92919921875
19,4824.6455078125,4839.6044921875
20,4823.94873046875,4839.30615234375
21,4823.32421875,4839.40478515625
22,4822.607421875,4839.47412109375
23,4823.68310546875,4839.576171875
24,4822.50439453125,4839.00537109375
25,4821.5947265625,4838.87255859375
26,4820.83203125,4838.7470703125
27,4820.02001953125,4838.41552734375
28,4819.42333984375,4838.90673828125
29,4819.759765625,4839.8427734375
30,4819.3173828125,4838.13232421875
31,4818.8046875,4838.66650390625
32,4818.16796875,4838.2529296875
33,4817.81396484375,4839.5234375
34,4817.3291015625,4838.232421875
35,4817.65869140625,4838.12939453125
36,4816.88916015625,4838.6845703125
37,4816.7841796875,4838.4638671875
38,4816.208984375,4838.12841796875
39,4815.7294921875,4837.92822265625
40,4816.3115234375,4840.41748046875
41,4816.755859375,4838.8896484375
42,4815.5537109375,4838.18505859375
43,4815.60546875,4838.35400390625
44,4815.029296875,4838.3359375
45,4815.306640625,4838.505859375
46,4814.52294921875,4838.22900390625
47,4815.4052734375,4838.3662109375
48,4814.0732421875,4838.0712890625
49,4815.7509765625,4841.79296875
50,4816.26416015625,4838.54541015625
51,4814.17626953125,4838.4833984375
52,4814.013671875,4838.64208984375
53,4813.45166015625,4838.64111328125
54,4814.7431640625,4838.458984375
55,4813.66455078125,4838.54931640625
56,4813.0458984375,4838.60009765625
57,4812.9462890625,4838.65966796875
58,4814.11669921875,4838.71435546875
59,4812.6591796875,4838.96435546875
60,4812.3447265625,4838.70166015625
61,4812.23779296875,4838.80712890625
62,4813.01953125,4838.9736328125
63,4812.05078125,4838.88427734375
64,4813.9931640625,4838.9775390625
65,4811.994140625,4838.9453125
66,4811.84375,4839.15283203125
67,4812.53173828125,4839.2939453125
68,4812.09130859375,4839.61962890625
69,4811.74072265625,4839.3505859375
