,train_elbo,val_elbo
0,11011.041015625,6227.91259765625
1,5390.40869140625,5255.0380859375
2,5154.8876953125,5120.90771484375
3,5079.828125,5059.76953125
4,5043.66064453125,5033.33349609375
5,5026.9462890625,5023.17822265625
6,5013.84228515625,5013.35791015625
7,5006.38671875,5007.13525390625
8,4999.953125,5003.67333984375
9,4994.2607421875,4999.8642578125
10,4990.40771484375,4996.95556640625
11,4985.63232421875,4992.74072265625
12,4983.19091796875,4990.30517578125
13,4979.38818359375,4987.904296875
14,4975.716796875,4986.3466796875
15,4973.15234375,4983.005859375
16,4970.7939453125,4980.83154296875
17,4968.00732421875,4979.92919921875
18,4965.76611328125,4978.6806640625
19,4963.927734375,4975.99951171875
20,4962.138671875,4975.16162109375
21,4959.56298828125,4974.1435546875
22,4957.88525390625,4973.115234375
23,4955.9443359375,4971.55322265625
24,4954.3876953125,4971.61083984375
25,4952.8310546875,4970.30078125
26,4951.6259765625,4966.91552734375
27,4949.92626953125,4967.93310546875
28,4949.8203125,4966.123046875
29,4947.4501953125,4965.23486328125
30,4945.90771484375,4965.7431640625
31,4946.98828125,4963.97412109375
32,4944.26171875,4963.2119140625
33,4942.591796875,4962.14599609375
34,4941.49462890625,4961.296875
35,4940.5439453125,4961.0849609375
36,4939.28173828125,4961.84814453125
37,4938.376953125,4959.44384765625
38,4937.29052734375,4958.90673828125
39,4936.240234375,4958.1943359375
40,4935.369140625,4956.99267578125
41,4934.4501953125,4957.1884765625
42,4933.6103515625,4956.35400390625
43,4932.72705078125,4955.99853515625
44,4932.43701171875,4961.560546875
45,4933.53271484375,4954.35009765625
46,4930.74951171875,4953.828125
47,4929.58642578125,4952.8974609375
48,4928.6796875,4952.45654296875
49,4929.42822265625,4952.431640625
50,4927.61328125,4952.36083984375
51,4926.80810546875,4950.7900390625
52,4925.89892578125,4951.66845703125
53,4925.36279296875,4950.171875
54,4924.587890625,4950.06982421875
55,4924.21044921875,4949.87646484375
56,4924.60498046875,4948.1044921875
57,4922.87744140625,4948.96044921875
58,4922.2236328125,4949.01318359375
59,4923.72021484375,4948.2021484375
