,Extra-Embryonic ectoderm_2_corr,Extra-Embryonic ectoderm_2_pval,Extra-Embryonic ectoderm_2_qval,Extra-Embryonic ectoderm_2_ci_low,Extra-Embryonic ectoderm_2_ci_high,gene_annotation
ENSMUSG00000103906,0.5305196131798182,0.0,0.0,0.5218857660044149,0.5390447722703869,Tigd5
ENSMUSG00000020922,0.5073022037823706,0.0,0.0,0.4983813212970638,0.5161156699278551,Lsm12
ENSMUSG00000097693,0.4950822502918267,0.0,0.0,0.48601555870992474,0.5040423841416789,4930471M09Rik
ENSMUSG00000079658,0.4937102165894898,0.0,0.0,0.4846273804824368,0.5026865993216985,Tceb1
ENSMUSG00000049792,0.49136055952023205,0.0,0.0,0.48225018159289906,0.5003646664783591,Bag5
ENSMUSG00000083012,0.4845395265256237,0.0,0.0,0.4753499549593159,0.4936233828535194,Fam220a
ENSMUSG00000062380,0.477031709040993,0.0,0.0,0.46775627691651683,0.48620208217420063,Tubb3
ENSMUSG00000017697,0.4733294883039488,0.0,0.0,0.4640122210437295,0.4825420371563723,Ada
ENSMUSG00000100188,0.46981816739126436,0.0,0.0,0.4604615297258674,0.47907041992604577,Gm29561
ENSMUSG00000062352,0.4672808634045536,0.0,0.0,0.4578959627538949,0.4765616259241317,Itgb1bp1
ENSMUSG00000069268,0.4663278104571593,0.0,0.0,0.456932334150333,0.47561924274094197,Hist1h2bf
ENSMUSG00000029726,0.46556925446672504,0.0,0.0,0.456165376521839,0.47486916380915306,Mepce
ENSMUSG00000023988,0.46555636260914024,0.0,0.0,0.45615234199694654,0.47485641590463096,Bysl
ENSMUSG00000024767,0.46444664378391604,0.0,0.0,0.45503035762827443,0.4737590737950727,Otub1
ENSMUSG00000037070,0.46388816161604446,0.0,0.0,0.454465713956151,0.4732068094507254,Rbmxl1
ENSMUSG00000035575,0.463822572865902,0.0,0.0,0.4543994020891354,0.4731419504478981,Utp6
ENSMUSG00000001627,0.45987286727009097,0.0,0.0,0.45040634343156366,0.46923600346791566,Ifrd1
ENSMUSG00000037747,0.4594953354926542,0.0,0.0,0.4500246875890244,0.46886263516460264,Phyhipl
ENSMUSG00000032501,0.4593683979027667,0.0,0.0,0.4498963641410274,0.46873709670849895,Trib1
ENSMUSG00000019470,0.4591861970149686,0.0,0.0,0.4497121747342653,0.4685569034171393,Xab2
ENSMUSG00000038412,0.4576971653590641,0.0,0.0,0.44820692216390956,0.467084249562209,Higd1a
ENSMUSG00000040618,0.45568980786258123,0.0,0.0,0.4461777824929901,0.4650988884846707,Pck2
ENSMUSG00000040463,0.4539950680052228,0.0,0.0,0.44446472886332955,0.46342264572440184,Mybbp1a
ENSMUSG00000004393,0.4538240154025726,0.0,0.0,0.4442918316971855,0.46325345631254955,Ddx56
ENSMUSG00000109149,0.4536790327064585,0.0,0.0,0.4441452861210978,0.46311005230253477,Gm44653
ENSMUSG00000044147,0.4534623217405994,0.0,0.0,0.4439262400121825,0.46289570013614206,Arf6
ENSMUSG00000039067,0.4527247291669378,0.0,0.0,0.4431807081389154,0.4621661276514008,Psmd7
ENSMUSG00000026667,0.450583689237038,0.0,0.0,0.4410166972625811,0.4600482955623526,Uhmk1
ENSMUSG00000030695,0.44852258312545606,0.0,0.0,0.4389335828859399,0.4580094291039608,Aldoa
ENSMUSG00000047654,0.44727708873978855,0.0,0.0,0.4376748392109739,0.45677732541264887,Tssk6
ENSMUSG00000030045,0.4466996173915305,0.0,0.0,0.437091237623041,0.4562060502691902,Mrpl19
ENSMUSG00000020572,0.443749684098728,0.0,0.0,0.4341101150664864,0.45328764718239134,Nampt
ENSMUSG00000038544,0.4435420491535738,0.0,0.0,0.43390029277658176,0.45308222382899754,Inip
ENSMUSG00000047649,0.44305422142795425,0.0,0.0,0.43340733011103344,0.4525995881390951,Cd3eap
ENSMUSG00000027244,0.44097464488272253,0.0,0.0,0.4313059284234014,0.4505420821524893,Atg13
ENSMUSG00000025153,0.43987530296419075,0.0,0.0,0.4301950913044583,0.44945436648958903,Fasn
ENSMUSG00000028860,0.43825196606640887,0.0,0.0,0.42855483368839214,0.44784814549416785,Sytl1
ENSMUSG00000072980,0.4377370729571405,0.0,0.0,0.4280345869850353,0.4473386683008636,Oip5
ENSMUSG00000032041,0.43763614096679476,0.0,0.0,0.4279326063094707,0.44723879723566856,Tirap
ENSMUSG00000017210,0.4375436924423867,0.0,0.0,0.4278391974600123,0.44714732025415216,Med24
ENSMUSG00000097261,0.4370332418089693,0.0,0.0,0.42732344816432477,0.44664223033697203,4930532G15Rik
ENSMUSG00000043673,0.43614177875292565,0.0,0.0,0.4264227465545302,0.4457601146741963,Kcns3
ENSMUSG00000023832,0.434470541953288,0.0,0.0,0.4247342420591226,0.44410635120976566,Acat2
ENSMUSG00000061374,0.43432294294581497,0.0,0.0,0.4245851212718366,0.44396029224348466,Fiz1
ENSMUSG00000030887,0.4341370906529968,0.0,0.0,0.42439735355046054,0.44377637839643147,Pdzd9
ENSMUSG00000096010,0.4340387179244317,0.0,0.0,0.4242979673131476,0.4436790313701418,Hist4h4
ENSMUSG00000062480,0.4314860371328669,0.0,0.0,0.4217190689661065,0.4411528870521806,Acat3
ENSMUSG00000022472,0.43115389363660606,0.0,0.0,0.42138352577537436,0.4408241851008126,Desi1
ENSMUSG00000024042,0.4307008960723975,0.0,0.0,0.42092589581257905,0.44037587714449017,Sik1
ENSMUSG00000020409,0.42928183813967774,0.0,0.0,0.4194923586584547,0.43897147862459807,Slu7
ENSMUSG00000028070,0.4289615360701683,0.0,0.0,0.41916879517176286,0.4386544788488257,Apoa1bp
ENSMUSG00000046671,0.42851853476461177,0.0,0.0,0.41872128718589485,0.43821604088290655,Mtfr1l
ENSMUSG00000016554,0.42822128918783964,0.0,0.0,0.4184210203785493,0.4379218546347059,Eif3d
ENSMUSG00000091471,0.4281568907408645,0.0,0.0,0.4183559676623449,0.4378581187194472,Gm20538
ENSMUSG00000028179,0.4262633505042732,0.0,0.0,0.41644323455899196,0.4359840156514161,Cth
ENSMUSG00000025173,0.42592477006489726,0.0,0.0,0.41610123143988953,0.4356489018507811,Wdr45b
ENSMUSG00000074647,0.42438246057569384,0.0,0.0,0.4145433660443676,0.4341223495667726,Fam83c
ENSMUSG00000023075,0.42426376815753164,0.0,0.0,0.4144234788708877,0.43400486746704126,Akirin1
ENSMUSG00000018199,0.4238232720315506,0.0,0.0,0.4139785517060859,0.4335688602276968,Trove2
ENSMUSG00000019146,0.4229602486666187,0.0,0.0,0.41310686065174046,0.432714618295706,Cacng2
ENSMUSG00000045757,0.421783736837911,0.0,0.0,0.41191856172700425,0.4315500494910678,Zfp764
ENSMUSG00000022200,0.421365278947034,0.0,0.0,0.41149591952957393,0.43113583160763247,Golph3
ENSMUSG00000010914,0.420180727507701,0.0,0.0,0.41029954636037164,0.4299632602575862,Pdhx
ENSMUSG00000097674,0.4194050725934178,0.0,0.0,0.40951616889813824,0.42919543213299616,Gm26610
ENSMUSG00000078926,0.4189331698425838,0.0,0.0,0.40903957494067095,0.42872828421993514,Cdc20b
ENSMUSG00000025580,0.4184980646844118,0.0,0.0,0.4086001491650142,0.42829755849002316,Eif4a3
