,Forebrain/Midbrain/Hindbrain_1_corr,Forebrain/Midbrain/Hindbrain_1_pval,Forebrain/Midbrain/Hindbrain_1_qval,Forebrain/Midbrain/Hindbrain_1_ci_low,Forebrain/Midbrain/Hindbrain_1_ci_high,gene_annotation
ENSMUSG00000055010,0.31941155035345964,0.0,0.0,0.31350845913850783,0.3252899553394085,A830031A19Rik
ENSMUSG00000023913,0.31836810909182944,0.0,0.0,0.31246068364725305,0.3242509107170502,Pla2g7
ENSMUSG00000085675,0.31817606496694223,0.0,0.0,0.3122678433787612,0.32405967424171006,Gm12022
ENSMUSG00000111565,0.30939899506272034,0.0,0.0,0.30345490661828184,0.3153190034634433,RP23-177D16.3
ENSMUSG00000009115,0.3090617562901836,0.0,0.0,0.303116310031069,0.3149831432045995,Spatc1l
ENSMUSG00000021095,0.30898491272886425,0.0,0.0,0.3030391572867526,0.3149066135453155,Gsc
ENSMUSG00000005800,0.3055186942554015,0.0,0.0,0.29955907340128685,0.311454474323899,Mmp8
ENSMUSG00000044788,0.30367559326434734,0.0,0.0,0.29770866429916354,0.3096187959228989,Fads6
ENSMUSG00000056606,0.30079613447134357,0.0,0.0,0.29481787785151425,0.30675084469894803,Gm1000
ENSMUSG00000085950,0.30069607074400606,0.0,0.0,0.2947174224455946,0.30665117892560273,Gm13589
ENSMUSG00000099503,0.29906345569878323,0.0,0.0,0.29307843553558877,0.30502503835245226,Gm28822
ENSMUSG00000086147,0.2973448265014841,0.0,0.0,0.2913531367766805,0.30331318717459377,Zfp989
ENSMUSG00000067085,0.29729311831725347,0.0,0.0,0.29130122853019086,0.3032616823228205,Gm10197
ENSMUSG00000026944,0.2970129260377174,0.0,0.0,0.2910199527824837,0.30298259123888793,Abca2
ENSMUSG00000033618,0.29694419252996684,0.0,0.0,0.2909509536491805,0.30291412770721693,Map3k13
ENSMUSG00000109407,0.2958638822339537,0.0,0.0,0.28986647660727366,0.3018380526310224,Gm44994
ENSMUSG00000024579,0.2956630966209724,0.0,0.0,0.2896649182634119,0.30163805249509973,Pcyox1l
ENSMUSG00000097240,0.2944919763699303,0.0,0.0,0.2884893015134086,0.30047150321004207,Gm26614
ENSMUSG00000105352,0.2920517241449006,0.0,0.0,0.2860397381202781,0.2980407179884634,C030018K13Rik
