,NMP_1_corr,NMP_1_pval,NMP_1_qval,NMP_1_ci_low,NMP_1_ci_high,gene_annotation
ENSMUSG00000054162,0.5632229168923106,0.0,0.0,0.5587272717522203,0.5676854638323301,Spock3
ENSMUSG00000020704,0.5369538798596338,0.0,0.0,0.532268754229528,0.5416061154171169,Asic2
ENSMUSG00000021974,0.5234734253087379,0.0,0.0,0.5186946168434149,0.5282195253859336,Fgf9
ENSMUSG00000020875,0.4967298472002879,0.0,0.0,0.49177231250127734,0.5016551781204422,Hoxb9
ENSMUSG00000047109,0.48657413481851364,0.0,0.0,0.48155121254817057,0.4915650935296009,Cldn14
ENSMUSG00000051401,0.4847683241911594,0.0,0.0,0.4797339182708785,0.4897708119954129,Kctd16
ENSMUSG00000038227,0.4757487380282595,0.0,0.0,0.47065762067478695,0.48080817640433626,Hoxa9
ENSMUSG00000046167,0.4562702251777475,0.0,0.0,0.4510603103344489,0.461449045170093,Gldn
ENSMUSG00000026941,0.44964821533484844,0.0,0.0,0.44439905762600856,0.4548664973281577,Mamdc4
ENSMUSG00000101174,0.44751641457285424,0.0,0.0,0.44225474705048046,0.45274727909897167,Hoxd4
ENSMUSG00000075394,0.4460298300296881,0.0,0.0,0.44075947454332065,0.45126943385150775,Hoxc4
ENSMUSG00000034324,0.44600192398868466,0.0,0.0,0.4407314056922687,0.4512416915890199,Tmem132c
ENSMUSG00000036815,0.4437394417122987,0.0,0.0,0.43845575788300073,0.4489924539597251,Dpp10
ENSMUSG00000022485,0.44307515654051893,0.0,0.0,0.4377876200578136,0.4483320448930173,Hoxc5
ENSMUSG00000021685,0.43908989035805535,0.0,0.0,0.4337793631478381,0.44436991224686617,Otp
ENSMUSG00000055994,0.43640854171961013,0.0,0.0,0.4310826642712978,0.44170401195907016,Nod2
ENSMUSG00000068151,0.43345738632010333,0.0,0.0,0.4281147240184237,0.4387697512705339,A230006K03Rik
ENSMUSG00000090061,0.4304153425394513,0.0,0.0,0.42505549907178564,0.4357450039371069,Nwd2
ENSMUSG00000038236,0.4303783135608212,0.0,0.0,0.4250182617113944,0.43570818475618767,Hoxa7
ENSMUSG00000110235,0.42916620876521705,0.0,0.0,0.4237993457737619,0.43450293762033737,Gm5086
ENSMUSG00000031688,0.4284650845080301,0.0,0.0,0.42309429058532244,0.4338057713505998,Pou4f2
ENSMUSG00000029245,0.42636777345221033,0.0,0.0,0.4209852595477593,0.4317202618597876,Epha5
ENSMUSG00000063296,0.42623175102426103,0.0,0.0,0.42084847902259465,0.43158500285368145,Tmem117
ENSMUSG00000070691,0.42320378212499526,0.0,0.0,0.41780369764223835,0.4285739660179759,Runx3
ENSMUSG00000027868,0.42273199729994143,0.0,0.0,0.41732930420305525,0.4281048086198593,Tbx15
ENSMUSG00000085931,0.4204107505721692,0.0,0.0,0.4149952656161831,0.42579644701941904,Gm12648
ENSMUSG00000036139,0.41882887060297674,0.0,0.0,0.4134047091074243,0.4242233078207002,Hoxc9
ENSMUSG00000022894,0.41797620741795155,0.0,0.0,0.4125473828335518,0.4233753425708073,Adamts5
ENSMUSG00000038721,0.4170869205782323,0.0,0.0,0.41165324286129046,0.422490945373809,Hoxb7
ENSMUSG00000079560,0.4163137923800872,0.0,0.0,0.410875903947276,0.42172205977117583,Hoxa3
ENSMUSG00000022935,0.4146650324516466,0.0,0.0,0.4092181907277393,0.4200823215487322,Grik1
ENSMUSG00000019230,0.41423697277438104,0.0,0.0,0.4087878124297064,0.41965659834974295,Lhx9
ENSMUSG00000048015,0.4124652144381637,0.0,0.0,0.407006482993547,0.41789448544291385,Neurod4
ENSMUSG00000068587,0.41002675996696925,0.0,0.0,0.40455492380085645,0.4154692390848931,Mgam
ENSMUSG00000029544,0.4094088023705896,0.0,0.0,0.4039336576721797,0.41485461642277,Cabp1
ENSMUSG00000110417,0.4093276163176524,0.0,0.0,0.4038520373261318,0.4147738681375837,Gm45306
ENSMUSG00000056648,0.4086345415978113,0.0,0.0,0.40315525865135593,0.4140845270919119,Hoxb8
ENSMUSG00000029212,0.4079492921657776,0.0,0.0,0.4024663533302903,0.4134029630322465,Gabrb1
