,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000002057,-0.2848744669481764,0.0,0.0,-0.2908908548721204,-0.27883555036221985,Foxn1
ENSMUSG00000058325,-0.2848802005537901,0.0,0.0,-0.29089656686197574,-0.2788413052102564,Dock1
ENSMUSG00000053475,-0.2848970315878754,0.0,0.0,-0.2909133344403938,-0.2788581986041083,Tnfaip6
ENSMUSG00000108010,-0.2849133349539132,0.0,0.0,-0.29092957633663286,-0.2788745623784415,Gm44246
ENSMUSG00000022996,-0.28492279526508313,0.0,0.0,-0.290939000977295,-0.27888405774418135,Wnt10b
ENSMUSG00000078964,-0.2849237594775116,0.0,0.0,-0.2909399615540537,-0.2788850255295028,Ces1b
ENSMUSG00000096945,-0.2849539932997307,0.0,0.0,-0.2909700813701448,-0.2789153713894919,Gm26546
ENSMUSG00000011427,-0.28499364923839704,0.0,0.0,-0.291009587755553,-0.27895517429984,Zfp790
ENSMUSG00000072214,-0.2850033756723333,0.0,0.0,-0.2910192775053461,-0.27896493678477013,Sept5
ENSMUSG00000041268,-0.2850278319127036,0.0,0.0,-0.2910436415012958,-0.2789894836776257,Dmxl2
ENSMUSG00000029449,-0.28505510034551196,0.0,0.0,-0.2910708070734128,-0.27901685319623937,Rhof
ENSMUSG00000001864,-0.28507065646461366,0.0,0.0,-0.29108630450811285,-0.27903246698725315,Aif1l
ENSMUSG00000005609,-0.2850816886576023,0.0,0.0,-0.2910972950809902,-0.2790435400823306,Ctr9
ENSMUSG00000087077,-0.28510364934931776,0.0,0.0,-0.2911191729189542,-0.27906558219855454,Gm12480
ENSMUSG00000041936,-0.28515495609659336,0.0,0.0,-0.29117028607055284,-0.2791170792026448,Agrn
ENSMUSG00000035606,-0.2851666777866004,0.0,0.0,-0.2911819635263043,-0.27912884436415547,Ky
ENSMUSG00000027953,-0.2851706092679068,0.0,0.0,-0.2911858801709401,-0.2791327904263084,Slc50a1
ENSMUSG00000045348,-0.2851805987870755,0.0,0.0,-0.2911958319906361,-0.27914281699493526,Nyap1
ENSMUSG00000051062,-0.28524172708432716,0.0,0.0,-0.2912567295672879,-0.2792041720355094,Fbll1
ENSMUSG00000019763,-0.28529990364230773,0.0,0.0,-0.2913146865003398,-0.2792625644337056,Rmnd1
ENSMUSG00000097365,-0.2853040644082898,0.0,0.0,-0.2913188315571361,-0.2792667406382114,C030034L19Rik
ENSMUSG00000041870,-0.2853118337293273,0.0,0.0,-0.2913265715440981,-0.27927453878792874,Ankrd13a
ENSMUSG00000081225,-0.2853371649426701,0.0,0.0,-0.29135180711070224,-0.27929996400027235,Cyp2j12
ENSMUSG00000106227,-0.28535871729478735,0.0,0.0,-0.2913732780778845,-0.2793215963354676,Gm43464
ENSMUSG00000100680,-0.28537205631503143,0.0,0.0,-0.29138656672493857,-0.27933498486130903,1810044D09Rik
ENSMUSG00000110214,-0.2854205606875985,0.0,0.0,-0.29143488790706645,-0.2793836692697294,Gm45587
ENSMUSG00000015981,-0.28544795815430785,0.0,0.0,-0.29146218188595313,-0.27941116844256164,Stk32c
ENSMUSG00000026455,-0.2854512927174087,0.0,0.0,-0.2914655038528168,-0.27941451538505546,Klhl12
ENSMUSG00000055480,-0.28546058873209257,0.0,0.0,-0.29147476475124817,-0.2794238459114872,Zfp458
ENSMUSG00000026179,-0.2854798309732421,0.0,0.0,-0.2914939343000967,-0.27944315959368693,Pnkd
ENSMUSG00000062609,-0.28548114032954097,0.0,0.0,-0.2914952387098044,-0.2794444738114364,Kcnj15
ENSMUSG00000056260,-0.2854935455624781,0.0,0.0,-0.2915075970761487,-0.2794569251043319,Lrif1
ENSMUSG00000034793,-0.2855527149697717,0.0,0.0,-0.2915665429155956,-0.27951631423236906,G6pc3
ENSMUSG00000109901,-0.2855726474122207,0.0,0.0,-0.29158640003429226,-0.2795363207027101,Chmp1b
ENSMUSG00000045259,-0.2855830312191264,0.0,0.0,-0.29159674459923196,-0.2795467430765266,Klhdc9
ENSMUSG00000037953,-0.2856110877357353,0.0,0.0,-0.2916246950790152,-0.27957490380607575,A4gnt
ENSMUSG00000051037,-0.285625552248494,0.0,0.0,-0.2916391049205686,-0.27958942204978254,Zfp455
ENSMUSG00000044339,-0.2856266706844251,0.0,0.0,-0.29164021912905796,-0.27959054464045335,Alkbh2
ENSMUSG00000075104,-0.28571315877044634,0.0,0.0,-0.2917263802597204,-0.27967735406038435,Olfr1219
ENSMUSG00000086042,-0.2857154632189067,0.0,0.0,-0.291728675995221,-0.27967966707203773,Gm12670
ENSMUSG00000058427,-0.28571689763296265,0.0,0.0,-0.29173010498582197,-0.27968110681632613,Cxcl2
ENSMUSG00000021051,-0.2857218148934332,0.0,0.0,-0.29173500365414823,-0.27968604234937067,Ppp2r5e
ENSMUSG00000039450,-0.28574585173865225,0.0,0.0,-0.29175894961160154,-0.27971016852026404,Dcxr
ENSMUSG00000032089,-0.28574964601322256,0.0,0.0,-0.29176272953862775,-0.27971397689580624,Il10ra
ENSMUSG00000110559,-0.2857575755144829,0.0,0.0,-0.29177062905492857,-0.2797219358667318,RP23-194O23.4
ENSMUSG00000030956,-0.28576545772063494,0.0,0.0,-0.2917784814541519,-0.2797298473676009,Fam53b
ENSMUSG00000000346,-0.2857713820787697,0.0,0.0,-0.2917843834085176,-0.2797357937445264,Dazap2
ENSMUSG00000038292,-0.2857756528483825,0.0,0.0,-0.29178863802734817,-0.27974008038740056,Ccdc155
ENSMUSG00000021214,-0.28578307117997637,0.0,0.0,-0.2917960283044494,-0.2797475262914389,Akr1c18
ENSMUSG00000025280,-0.28579700856682355,0.0,0.0,-0.29180991298123454,-0.2797615154827096,Polr3a
ENSMUSG00000039967,-0.28580402376556985,0.0,0.0,-0.29181690164811164,-0.27976855675749474,Zfp292
ENSMUSG00000019849,-0.285882703165298,0.0,0.0,-0.2918952834340236,-0.2798475286591435,Prep
ENSMUSG00000057465,-0.2859166451374776,0.0,0.0,-0.291929096991882,-0.2798815968406755,Saa2
ENSMUSG00000098923,-0.2859446673594547,0.0,0.0,-0.29195701318469164,-0.27990972327154334,Tmem185b
ENSMUSG00000053119,-0.28595588932352534,0.0,0.0,-0.2919681926847491,-0.2799209869706999,Chmp3
ENSMUSG00000034108,-0.28599712747844785,0.0,0.0,-0.29200927478000993,-0.2799623785068019,Ccs
ENSMUSG00000040797,-0.2860010209918644,0.0,0.0,-0.29201315355785806,-0.2799662865029101,Iqsec3
ENSMUSG00000110216,-0.2860294604521677,0.0,0.0,-0.29204148537888486,-0.27999483175546547,Gm45451
ENSMUSG00000042719,-0.28605564265460476,0.0,0.0,-0.29206756847611404,-0.2800211113627912,Naa25
ENSMUSG00000005716,-0.2860675413634838,0.0,0.0,-0.29207942214289223,-0.28003305434108094,Pvalb
ENSMUSG00000033356,-0.2860698694769589,0.0,0.0,-0.292081741443168,-0.28003539111657244,Pus7l
ENSMUSG00000044252,-0.2860748629162921,0.0,0.0,-0.2920867159793285,-0.2800404031348175,Osbpl1a
ENSMUSG00000024388,-0.2861192794459008,0.0,0.0,-0.2921309643513292,-0.28008498493790274,Myo7b
ENSMUSG00000029561,-0.28612405596979973,0.0,0.0,-0.29213572279013866,-0.2800897792367509,Oasl2
ENSMUSG00000073551,-0.28612787849334104,0.0,0.0,-0.29213953084045513,-0.2800936159853225,Spink13
ENSMUSG00000020212,-0.286130305837196,0.0,0.0,-0.2921419489935566,-0.280096052362326,Mdm1
ENSMUSG00000038244,-0.28613814734413656,0.0,0.0,-0.2921497608093464,-0.2801039230512819,Mical2
ENSMUSG00000087674,-0.2861524038975751,0.0,0.0,-0.2921639633795909,-0.2801182326622848,4930447M23Rik
ENSMUSG00000020464,-0.2861850436904432,0.0,0.0,-0.2921964795701712,-0.2801509939383622,Pnpt1
ENSMUSG00000054414,-0.28620513924919067,0.0,0.0,-0.29221649902296204,-0.2801711642984775,Slc30a7
