,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000058099,-0.005765912074760931,0.3439032841038998,0.3826473930090973,-0.017704254280828304,0.006174073974140266,Nfam1
ENSMUSG00000104861,-0.0057689343084479485,0.3436504163563078,0.38242868501703514,-0.017707275667563756,0.006171051755073374,3110039M20Rik
ENSMUSG00000057997,-0.005778756255736977,0.34282944248998537,0.3816000027715777,-0.017717094860841966,0.00616122985379191,Olfr541
ENSMUSG00000049687,-0.00580162747351034,0.3409225992110442,0.379562012036344,-0.017739959656748565,0.006138358734222799,Fam109b
ENSMUSG00000046805,-0.0058246784684902455,0.3390076530440247,0.3775140902494707,-0.017763004166748957,0.006115307825579591,Mpeg1
ENSMUSG00000069830,-0.005828369048214743,0.33870170271243105,0.37721539448984415,-0.017766693707017833,0.006111617258499616,Nlrp1a
ENSMUSG00000109265,-0.0058382200071929475,0.3378859229222717,0.3763487668993893,-0.01777654188987105,0.0061017663316795786,Gm45000
ENSMUSG00000008845,-0.005839455570264856,0.3377836923494042,0.37627681001381774,-0.01777777710458215,0.00610053077247757,Cd163
ENSMUSG00000101344,-0.005850220216686868,0.3368938655634609,0.375327390333624,-0.0177885387144243,0.006089766158229007,Gm29183
ENSMUSG00000006850,-0.005871814112192951,0.33511342049022275,0.3734686509419623,-0.017810126510207216,0.006068172318919617,Tmco6
ENSMUSG00000026062,-0.005900524549772422,0.3327556113479394,0.37108911714948073,-0.017838828820584667,0.006039461938812177,Slc9a2
ENSMUSG00000040618,-0.0059013060867768,0.332691578700842,0.3710590884461767,-0.0178396101360805,0.00603868040309705,Pck2
ENSMUSG00000021423,-0.005908691406922531,0.33208687980957874,0.37042596743957473,-0.017846993362308553,0.006031295094414231,Ly86
ENSMUSG00000000938,-0.005908730989032652,0.3320836408003609,0.37042596743957473,-0.017847032933192678,0.006031255512362037,Hoxa10
