,Cardiomyocytes_1_corr,Cardiomyocytes_1_pval,Cardiomyocytes_1_qval,Cardiomyocytes_1_ci_low,Cardiomyocytes_1_ci_high,gene_annotation
ENSMUSG00000003623,0.19369616820111998,0.0,0.0,0.1873742569001144,0.20000203406223405,Crot
ENSMUSG00000041757,0.19368299017771537,0.0,0.0,0.18736104589324024,0.19998889002884873,Plekha6
ENSMUSG00000003949,0.19363685834721675,0.0,0.0,0.18731479861671768,0.19994287716810324,Hlf
ENSMUSG00000054555,0.19361070882633044,0.0,0.0,0.18728858366846762,0.19991679507207763,Adam12
ENSMUSG00000005936,0.19360214857474578,0.0,0.0,0.1872800020006767,0.19990825689061045,Kctd20
ENSMUSG00000040385,0.19355906355550118,0.0,0.0,0.18723680920513314,0.19986528293900838,Ppp1ca
ENSMUSG00000025020,0.19351352180973397,0.0,0.0,0.18719115356419314,0.19981985856763307,Slit1
ENSMUSG00000025912,0.19348948280876324,0.0,0.0,0.18716705445519347,0.19979588151126468,Mybl1
ENSMUSG00000025511,0.19347193848695965,0.0,0.0,0.18714946626970674,0.19977838239356224,Tspan4
ENSMUSG00000047992,0.1933336837766321,0.0,0.0,0.18701086604175418,0.19964048376484633,Fam69c
ENSMUSG00000051177,0.19333100525193586,0.0,0.0,0.18700818082554033,0.1996378121363516,Plcb1
ENSMUSG00000026399,0.1933086138533522,0.0,0.0,0.18698573349223335,0.19961547838359459,Cd55
ENSMUSG00000035199,0.1932947767087828,0.0,0.0,0.18697186178515382,0.19960167685896565,Arl6ip5
ENSMUSG00000031618,0.19319275546154682,0.0,0.0,0.1868695857864113,0.1994999181602584,Nr3c2
ENSMUSG00000025255,0.1931788572478984,0.0,0.0,0.18685565287892536,0.19948605570270542,Zfhx4
ENSMUSG00000022270,0.19309989487551904,0.0,0.0,0.1867764934426104,0.1994072964298207,Fam134b
ENSMUSG00000027715,0.1930934404593798,0.0,0.0,0.1867700229220159,0.19940085861151322,Ccna2
ENSMUSG00000062762,0.19304628796803477,0.0,0.0,0.1867227527968304,0.19935382735847815,Ei24
ENSMUSG00000046991,0.1930201223881314,0.0,0.0,0.18669652195288838,0.1993277290428797,Wdr27
ENSMUSG00000023232,0.19295058122429518,0.0,0.0,0.1866268073783914,0.19925836660621268,Serinc2
ENSMUSG00000097770,0.19292223179044746,0.0,0.0,0.1865983872695215,0.19923009001487493,Gm26776
ENSMUSG00000034317,0.19289718484316595,0.0,0.0,0.18657327788910968,0.19920510741578273,Trim59
ENSMUSG00000023132,0.19284846317106635,0.0,0.0,0.1865244347948782,0.19915651089119363,Gzma
ENSMUSG00000026147,0.1925680760174202,0.0,0.0,0.18624334947960763,0.19887684334285471,Col9a1
ENSMUSG00000046694,0.19243989784423512,0.0,0.0,0.18611485248869536,0.1987489937929186,Fam46b
ENSMUSG00000022131,0.19242674657631162,0.0,0.0,0.1861016685218456,0.19873587623007455,Gpr180
ENSMUSG00000026737,0.19242104827617973,0.0,0.0,0.18609595605433493,0.19873019253328197,Pip4k2a
ENSMUSG00000071379,0.19238876707605365,0.0,0.0,0.1860635946032607,0.19869799405390637,Hpcal1
ENSMUSG00000066189,0.192385052155223,0.0,0.0,0.18605987044803066,0.19869428865170666,Cacng3
ENSMUSG00000021948,0.19236381798958382,0.0,0.0,0.18603858350285288,0.19867310889027515,Prkcd
ENSMUSG00000026411,0.1922887387939864,0.0,0.0,0.18596331773838704,0.19859822200836674,Tmem9
ENSMUSG00000091144,0.19226739336338955,0.0,0.0,0.1859419192787815,0.19857693124016504,Phf11c
ENSMUSG00000024486,0.1922434346810695,0.0,0.0,0.18591790108243064,0.19855303390528636,Hbegf
ENSMUSG00000063060,0.19215227244187097,0.0,0.0,0.18582651246280685,0.19846210502311926,Sox7
ENSMUSG00000048012,0.1920046426735753,0.0,0.0,0.18567851632210758,0.19831485292701737,Zfp473
ENSMUSG00000022676,0.19197472976146163,0.0,0.0,0.1856485292101689,0.19828501650456842,Snai2
ENSMUSG00000097648,0.19193792888049502,0.0,0.0,0.18561163705974149,0.19824830971029944,9330185C12Rik
ENSMUSG00000022205,0.1919269135433061,0.0,0.0,0.18560059440700394,0.19823732253194806,Sub1
ENSMUSG00000051022,0.19188803687918496,0.0,0.0,0.18556162135030693,0.19819854523673644,Hs3st1
ENSMUSG00000019906,0.1918314385994757,0.0,0.0,0.1855048827738201,0.1981420915871439,Lin7a
ENSMUSG00000068744,0.19180986382466958,0.0,0.0,0.1854832545302008,0.19812057193306587,Psrc1
ENSMUSG00000066687,0.19180675706465256,0.0,0.0,0.18548014007119829,0.1981174731099133,Zbtb16
ENSMUSG00000047104,0.19179617137214514,0.0,0.0,0.18546952814681994,0.1981069144598112,Pbp2
ENSMUSG00000025557,0.19177209388591554,0.0,0.0,0.18544539100088106,0.19808289847691796,Slc15a1
ENSMUSG00000001383,0.1917426936917694,0.0,0.0,0.1854159179686589,0.19805357337211554,Zmat2
ENSMUSG00000092250,0.19172394262779457,0.0,0.0,0.18539712045544535,0.1980348701932536,Gm20467
ENSMUSG00000036256,0.19171865566506577,0.0,0.0,0.1853918203969422,0.19802959673115783,Igfbp7
ENSMUSG00000097461,0.19170171323889912,0.0,0.0,0.18537483600696936,0.1980126975662128,Gm26735
ENSMUSG00000022055,0.19168318413051066,0.0,0.0,0.18535626100913252,0.19799421576622542,Nefl
ENSMUSG00000058755,0.19165296408298713,0.0,0.0,0.18532596612791796,0.19796407286670664,Osm
ENSMUSG00000040536,0.1915336946041755,0.0,0.0,0.18520640142033412,0.19784510775145273,Necab1
ENSMUSG00000037747,0.19145340123835566,0.0,0.0,0.1851259094091589,0.19776501918140663,Phyhipl
ENSMUSG00000044786,0.19141463848764395,0.0,0.0,0.18508705078999738,0.19772635526857374,Zfp36
ENSMUSG00000001300,0.19139206636304817,0.0,0.0,0.1850644228488975,0.19770384068969307,Efnb2
ENSMUSG00000100235,0.1913650493952845,0.0,0.0,0.18503733908221265,0.19767689259063942,Gm28557
ENSMUSG00000059866,0.19136379215738564,0.0,0.0,0.18503607873605188,0.1976756385573221,Tnip2
ENSMUSG00000003032,0.1910891096501759,0.0,0.0,0.18476071763196136,0.1974016556947395,Klf4
ENSMUSG00000064080,0.19107340726069116,0.0,0.0,0.1847449764801043,0.19738599327105918,Fbln2
ENSMUSG00000039377,0.1910349800789551,0.0,0.0,0.18470645445206035,0.1973476638807951,Hlx
ENSMUSG00000041134,0.190994612440215,0.0,0.0,0.1846659871985028,0.1973073989509153,Cyyr1
ENSMUSG00000034912,0.19097487045451808,0.0,0.0,0.18464619650351932,0.19728770718771985,Mdga2
ENSMUSG00000036528,0.1909666415957743,0.0,0.0,0.18463794734327577,0.19727949926122582,Ppfibp2
ENSMUSG00000010362,0.190874322210125,0.0,0.0,0.18454540025666585,0.1971874146533642,Rdm1
ENSMUSG00000100580,0.19085743502161892,0.0,0.0,0.18452847142893103,0.19717057039868066,4933436I20Rik
ENSMUSG00000024837,0.19085681330906026,0.0,0.0,0.18452784818346943,0.1971699502666868,Dmrt1
ENSMUSG00000097579,0.19072109212187544,0.0,0.0,0.18439179248211973,0.197034573999258,Gm26799
ENSMUSG00000027487,0.1906873460517246,0.0,0.0,0.18435796327514928,0.19700091365348182,Cdk5rap1
ENSMUSG00000038777,0.19061679608179033,0.0,0.0,0.18428723954675502,0.19693054285194567,Sema6c
ENSMUSG00000050730,0.19057511704260532,0.0,0.0,0.18424545788650878,0.19688896963009922,Arhgap42
ENSMUSG00000089678,0.190498462069908,0.0,0.0,0.18416861423563002,0.1968125092145373,Agxt2
ENSMUSG00000043501,0.19049559188847195,0.0,0.0,0.18416573699104608,0.1968096463163852,Lgals2
ENSMUSG00000026343,0.19042101915181178,0.0,0.0,0.18409098077848382,0.19673526277546238,Gpr39
ENSMUSG00000057193,0.19036050646992583,0.0,0.0,0.1840303192673385,0.19667490356464667,Slc44a2
ENSMUSG00000087247,0.19034342681791003,0.0,0.0,0.18401319761711918,0.19665786722104664,Fam150a
ENSMUSG00000020309,0.19029295154558595,0.0,0.0,0.18396259825050487,0.1966075199152335,Chac2
ENSMUSG00000020573,0.190277276410031,0.0,0.0,0.1839468845841978,0.1965918845130028,Pik3cg
ENSMUSG00000111184,0.19021596485743056,0.0,0.0,0.18388542235391708,0.19653072834204188,RP23-359B23.13
ENSMUSG00000050395,0.19015354475396035,0.0,0.0,0.1838228488992738,0.1964684663791338,Tnfsf15
ENSMUSG00000026966,0.1901480506416079,0.0,0.0,0.18381734129166627,0.19646298618360875,Ssna1
ENSMUSG00000026175,0.1900581996092605,0.0,0.0,0.18372726961354027,0.19637336269187794,Vil1
ENSMUSG00000040329,0.19004843215815928,0.0,0.0,0.1837174781830684,0.19636361996971347,Il7
ENSMUSG00000024620,0.19003654832213188,0.0,0.0,0.18370556517357922,0.19635176621914047,Pdgfrb
ENSMUSG00000047714,0.19002662374035886,0.0,0.0,0.18369561622951525,0.19634186676130405,Ppp1r2
ENSMUSG00000031074,0.19002342242175924,0.0,0.0,0.18369240705278003,0.196338673546522,Fgf3
ENSMUSG00000022021,0.1899154214834015,0.0,0.0,0.18358414108835835,0.1962309459232403,Diaph3
ENSMUSG00000028479,0.18989138343965767,0.0,0.0,0.1835600440779872,0.19620696869118598,Gne
ENSMUSG00000030720,0.18987074479765978,0.0,0.0,0.18353935481435033,0.19618638225501028,Cln3
ENSMUSG00000036949,0.18979072958138524,0.0,0.0,0.18345914339296934,0.1961065693860539,Slc39a12
ENSMUSG00000021028,0.1897380293296744,0.0,0.0,0.18340631396115795,0.1960540023602182,Mbip
ENSMUSG00000062760,0.1896981973286532,0.0,0.0,0.18336638434726382,0.19601427103013522,1810041L15Rik
ENSMUSG00000024079,0.18968683782050352,0.0,0.0,0.18335499700516938,0.19600294022807457,Eif2ak2
ENSMUSG00000028601,0.18966745600551135,0.0,0.0,0.18333556770327933,0.19598360738807913,Echdc2
ENSMUSG00000010025,0.1896462462047322,0.0,0.0,0.18331430594256887,0.19596245117572153,Aldh3a2
ENSMUSG00000025204,0.18953755058574678,0.0,0.0,0.18320534413319992,0.1958540300934696,Ndufb8
ENSMUSG00000036306,0.18952203557082084,0.0,0.0,0.18318979113543155,0.19583855425282323,Lzts1
ENSMUSG00000053977,0.18946572276712137,0.0,0.0,0.1831333404970499,0.1957823836084061,Cd8a
ENSMUSG00000074342,0.18924803222081377,0.0,0.0,0.18291511751070647,0.19556524222282262,I830077J02Rik
ENSMUSG00000000296,0.1891676341756399,0.0,0.0,0.18283452298117353,0.19548504683850762,Tpd52l1
ENSMUSG00000035242,0.18916699892151354,0.0,0.0,0.18283388617489194,0.19548441318534185,Oaz1
ENSMUSG00000006386,0.18915084997593087,0.0,0.0,0.18281769777338697,0.1954683049363853,Tek
ENSMUSG00000066952,0.1891480899048279,0.0,0.0,0.182814930959082,0.1954655518205398,Myo1h
ENSMUSG00000040746,0.1891188602499444,0.0,0.0,0.18278562989861996,0.19543639581698635,Rnf167
ENSMUSG00000037579,0.1890749146372366,0.0,0.0,0.18274157695166432,0.19539256091508062,Kcnh3
ENSMUSG00000058656,0.1890205134827742,0.0,0.0,0.18268704296121252,0.1953382967767729,Samd12
ENSMUSG00000033882,0.18899338869234386,0.0,0.0,0.18265985195240272,0.19531124028908917,Rbm46
