,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000000711,0.12091749153869777,1.3865409673259276e-288,1.0520037688360605e-287,0.11444827629487492,0.12737645191483463,Rab5b
ENSMUSG00000025044,0.12090410724462951,1.6067992023406891e-288,1.2181949979838433e-287,0.11443487132024406,0.12736308940275656,Msr1
ENSMUSG00000000957,0.12079746663721032,5.198224211108609e-288,3.938048644779249e-287,0.1143280660226809,0.1272566222616076,Mmp14
ENSMUSG00000065990,0.12079267749759112,5.479525244170839e-288,4.1480130538764866e-287,0.11432326949047537,0.1272518409087198,Aurkaip1
ENSMUSG00000019779,0.120782183880257,6.150210897919849e-288,4.652201889500642e-287,0.11431275967609374,0.12724136435206046,Frk
ENSMUSG00000035954,0.12074182987489708,9.587210958701088e-288,7.246569129781624e-287,0.11427234339724489,0.12720107594139785,Dock4
ENSMUSG00000010142,0.1206693414338951,2.1274416436403115e-287,1.6068290359821086e-286,0.1141997431473243,0.12712870527550066,Tnfrsf13b
ENSMUSG00000024579,0.12061149278159504,4.017506298965157e-287,3.0320802256340807e-286,0.11414180531664729,0.12707095056306578,Pcyox1l
ENSMUSG00000030155,0.12059404929468709,4.8661280802916797e-287,3.669779849390407e-286,0.114124334947829,0.12705353539387212,Clec2e
ENSMUSG00000028989,0.12055395694423764,7.558336001267726e-287,5.695807084602657e-286,0.11408418082679428,0.1270135081141513,Angptl7
ENSMUSG00000035105,0.12032618761153761,9.196991398773596e-286,6.925445330401803e-285,0.11385606096933704,0.1267861080566072,Egln3
ENSMUSG00000026277,0.12028986242170807,1.3693745775133753e-285,1.0303796670529536e-284,0.11381967994007187,0.12674984169686923,Stk25
ENSMUSG00000006007,0.12021913005879192,2.971609370787171e-285,2.234292759990354e-284,0.11374883889646928,0.1266792238382761,Pdc
ENSMUSG00000050425,0.12020348589745357,3.526811864061251e-285,2.6497459534645014e-284,0.11373317070667123,0.1266636049934765,Mrgprb2
ENSMUSG00000055435,0.12012185159325502,8.617949629609449e-285,6.469932154361448e-284,0.11365141106947,0.12658210274397655,Maf
ENSMUSG00000056290,0.12009781357126705,1.1210077476292767e-284,8.409660522350163e-284,0.1136273361586516,0.12655810359016714,Ms4a4b
ENSMUSG00000040940,0.12009524605341222,1.1529367749980063e-284,8.64270446025492e-284,0.11362476470112429,0.12655554022340246,Arhgef1
ENSMUSG00000017561,0.12008379848474371,1.3067224699237357e-284,9.788183295308881e-284,0.11361329956803543,0.12654411116178885,Crlf3
ENSMUSG00000043372,0.12005740875565091,1.7438876473786006e-284,1.3053051252833836e-283,0.11358686935478839,0.12651776408990778,Hexim2
ENSMUSG00000020773,0.12004885454485115,1.9148716094382344e-284,1.4322151155110203e-283,0.11357830202304599,0.12650922370445486,Trim47
ENSMUSG00000036912,0.11993396584860867,6.720748690982586e-284,5.022981084441394e-283,0.11346323719713619,0.12639452059893264,Piwil4
ENSMUSG00000029616,0.11992364635973987,7.522616132180703e-284,5.618085236878793e-283,0.11345290189651099,0.12638421777166733,Erp29
ENSMUSG00000044854,0.11989678576495265,1.0087036565974152e-283,7.527639228338919e-283,0.1134260001518739,0.12635740053882774,1700056E22Rik
ENSMUSG00000003161,0.1197893762364099,3.257547202107561e-283,2.429192544450083e-282,0.1133184261690851,0.12625016431066308,Sri
ENSMUSG00000053475,0.11971982337426644,6.95540890487553e-283,5.182868036419917e-282,0.11324876689579645,0.12618072358834365,Tnfaip6
ENSMUSG00000024681,0.11965852711406934,1.3566984429482634e-282,1.0101998830590197e-281,0.11318737690922995,0.12611952610339275,Ms4a3
ENSMUSG00000037095,0.11964527707128154,1.5674198673512367e-282,1.1662350203506227e-281,0.11317410661267288,0.12610629740579002,Lrg1
ENSMUSG00000020007,0.1196113872889455,2.2673900706475673e-282,1.6857918740874104e-281,0.11314016503754937,0.12607246220781707,Il20ra
ENSMUSG00000031712,0.11960196227906703,2.512522195611194e-282,1.8666583919845423e-281,0.11313072562638143,0.12606305237559937,Il15
ENSMUSG00000057596,0.11955392469526592,4.2392423309582714e-282,3.1471732226861703e-281,0.11308261465994261,0.1260150921315465,Trim30d
ENSMUSG00000022610,0.11941993333784752,1.8216175087549777e-281,1.3513483002633365e-280,0.11294841877651239,0.12588131633847133,Mapk12
ENSMUSG00000044948,0.11932345714390694,5.1986948590616314e-281,3.853739702788459e-280,0.11285179546635077,0.12578499520923508,Cfap43
ENSMUSG00000028959,0.1192197898156111,1.602704260928835e-280,1.1871883414287665e-279,0.11274797019252086,0.12568149436805923,Fastk
ENSMUSG00000086644,0.11896165695336121,2.633010795890383e-279,1.9489347119839992e-278,0.11248944465810759,0.12542377544949518,Gm13470
ENSMUSG00000099843,0.11890498360939382,4.863770233655911e-279,3.597463190573899e-278,0.11243268521985708,0.12536719287054454,Gm7160
ENSMUSG00000027398,0.11884670588693758,9.13905205315351e-279,6.754657836772734e-278,0.11237431900990233,0.12530900843875098,Il1b
ENSMUSG00000058291,0.11884491796559876,9.31757462983803e-279,6.88151745187447e-278,0.11237252837453267,0.12530722337880418,Zfp68
ENSMUSG00000026872,0.11877093501972459,2.0741765695206078e-278,1.5307576158823672e-277,0.11229843316080158,0.12523335879866082,Zeb2
ENSMUSG00000074364,0.11870633030190775,4.170132530201577e-278,3.0753189750749097e-277,0.11223373046529811,0.12516885738370026,Ehd2
ENSMUSG00000062906,0.1186644762241027,6.554713611567208e-278,4.830297429305238e-277,0.11219181294207994,0.12512707020134878,Hdac10
ENSMUSG00000089661,0.11857592715559113,1.7054588775890488e-277,1.255860734601656e-276,0.11210312972046181,0.1250386625854158,Mia
ENSMUSG00000074793,0.11856373693668106,1.94530261849779e-277,1.4314220886665122e-276,0.11209092104126994,0.1250264918317161,Hspa12b
ENSMUSG00000015094,0.11842192785256932,8.980892403206548e-277,6.603597355298932e-276,0.111948897351884,0.12488490904390338,Npdc1
ENSMUSG00000031785,0.11838867427035664,1.2852367292722336e-276,9.443326445791577e-276,0.11191559348399147,0.12485170848904048,Adgrg1
ENSMUSG00000063558,0.11836603403686295,1.6403578493595933e-276,1.2043743387368527e-275,0.11189291902252065,0.12482910435019001,Aox1
ENSMUSG00000020932,0.11834019938873283,2.1667967014091056e-276,1.5897261198892923e-275,0.11186704532526483,0.12480331088126644,Gfap
ENSMUSG00000097917,0.11824620634581666,5.9618105019984836e-276,4.3708288137818795e-275,0.11177291028571819,0.12470946758510254,Gm26839
ENSMUSG00000038235,0.11802151280596704,6.678740937919721e-275,4.892850503970491e-274,0.11154787776894806,0.1244851315512864,F11r
ENSMUSG00000028673,0.11800118980648676,8.308082769933711e-275,6.082051808150594e-274,0.11152752414254664,0.12446484085479356,Fuca1
ENSMUSG00000039070,0.11795276205804614,1.3974835741816622e-274,1.0222996153486922e-273,0.11147902343499665,0.12441649005946809,Cpa4
ENSMUSG00000048865,0.11793370669502806,1.7146926386736182e-274,1.2534302914280835e-273,0.11145993937246415,0.12439746496756607,Arhgap30
ENSMUSG00000039989,0.11790119868883783,2.4305815925619546e-274,1.7754430917180093e-273,0.11142738241659078,0.12436500859222578,Cbx4
ENSMUSG00000030770,0.11782734854698924,5.36752676176409e-274,3.917902745813204e-273,0.11135342112482434,0.12429127569148138,Parva
ENSMUSG00000039116,0.1176783975775095,2.6488032090865125e-273,1.9320227637392506e-272,0.1112042461913335,0.12414256097255175,Adgrg6
ENSMUSG00000047798,0.11765066632310962,3.5646868540619294e-273,2.5981682609780828e-272,0.11117647327218592,0.12411487367052025,Cd300lf
ENSMUSG00000019564,0.11761674509852822,5.12552544536462e-273,3.733084810899213e-272,0.11114250109650332,0.12408100619535044,Arid3a
ENSMUSG00000028037,0.11757946894503365,7.638355144545783e-273,5.5592104399896524e-272,0.11110516897011331,0.12404378908990506,Ifi44
ENSMUSG00000037940,0.11757049928932184,8.407807720253633e-273,6.114769251093551e-272,0.11109618584852883,0.1240348336400441,Inpp4b
ENSMUSG00000028530,0.11756696455528787,8.731887739580263e-273,6.345848647950773e-272,0.11109264580819622,0.12403130450391839,Jak1
ENSMUSG00000050600,0.11754218967595884,1.1382008114058663e-272,8.265801099534251e-272,0.11106783374173891,0.12400656885562497,Zfp831
ENSMUSG00000022303,0.11753536231127205,1.2244364392620797e-272,8.885605509884468e-272,0.11106099613058687,0.12399975230066204,Dcstamp
ENSMUSG00000105219,0.11748996655757207,1.9896616533899483e-272,1.442829335308157e-271,0.11101553226281716,0.12395442840625993,Gm43821
ENSMUSG00000029632,0.11720675812458337,4.0949745786084717e-271,2.967372883049617e-270,0.1107318995015486,0.12367166766955745,Ndufa4
ENSMUSG00000025402,0.1172029782402021,4.2634332217932104e-271,3.087207256910362e-270,0.1107281139609378,0.12366789375332322,Nab2
ENSMUSG00000034641,0.11717816063625598,5.555190697698876e-271,4.0196748897965825e-270,0.11070325922452619,0.12364311532982224,Cd300ld
ENSMUSG00000029580,0.11715817956497165,6.874171948015678e-271,4.970478631970844e-270,0.11068324826315326,0.12362316579751649,Actb
ENSMUSG00000032278,0.11715080587885751,7.436349176790246e-271,5.373084665310872e-270,0.11067586354791915,0.1236158037490242,Paqr5
ENSMUSG00000030325,0.11714738119483097,7.712850978846167e-271,5.568845472091095e-270,0.11067243374169759,0.12361238446981045,Klrb1c
ENSMUSG00000026443,0.11713945539505947,8.392801641492375e-271,6.055412439749188e-270,0.11066449608814163,0.12360447117789292,Lrrn2
ENSMUSG00000031520,0.11709997735084392,1.278291576583041e-270,9.216233428861148e-270,0.11062495901307498,0.12356505542247512,Vegfc
ENSMUSG00000037447,0.11704448292958321,2.3087472743742053e-270,1.663362589606776e-269,0.11056938164659814,0.12350964852629658,Arid5a
ENSMUSG00000028228,0.11703214164685871,2.633034518080014e-270,1.8956332023614213e-269,0.11055702192337313,0.12349732670260426,Cpne3
ENSMUSG00000070031,0.11698401886241373,4.395129010169246e-270,3.161963316668522e-269,0.11050882725238671,0.12344927977638391,Sp140
ENSMUSG00000039834,0.11694860634721597,6.407006087195373e-270,4.606043197121045e-269,0.11047336185688915,0.12341392306425099,Zfp335
ENSMUSG00000040712,0.11692920975080437,7.875682815614853e-270,5.657818114665843e-269,0.11045393630319218,0.12339455702605115,Camta2
ENSMUSG00000023009,0.11689699989878428,1.109425845793766e-269,7.96429178602847e-269,0.11042167837583595,0.12336239790790456,Nckap5l
ENSMUSG00000020777,0.1167705590322024,4.2544840477607115e-269,3.0519971648211706e-268,0.11029504891978201,0.12323615606757851,Acox1
ENSMUSG00000075254,0.11675923814611243,4.798228732795896e-269,3.4395904894594236e-268,0.11028371115858303,0.12322485299110227,Heg1
ENSMUSG00000097365,0.11673872039120067,5.966718692464767e-269,4.274153791163873e-268,0.11026316282384524,0.12320436750971452,C030034L19Rik
ENSMUSG00000039637,0.11664672275545096,1.5846626075454057e-268,1.1343325751935617e-267,0.11017102814214014,0.12311251451444555,Coro7
ENSMUSG00000006344,0.11640677586563836,2.0169888600771094e-267,1.4427674249478607e-266,0.10993072433474431,0.12287294435254402,Ggt5
ENSMUSG00000052056,0.11639143985829913,2.3726501061944942e-267,1.6959614769081448e-266,0.10991536554105284,0.12285763239783554,Zfp217
ENSMUSG00000028351,0.11631205618413853,5.4974965600045e-267,3.9267832571460716e-266,0.10983586396748354,0.12277837317793859,Brinp1
ENSMUSG00000053565,0.11630733219409162,5.779274119922091e-267,4.1251064382027775e-266,0.10983113296405177,0.12277365659135696,Eif3k
ENSMUSG00000100301,0.11628800709560246,7.090373935395614e-267,5.057328056630253e-266,0.10981177917796651,0.12275436177623537,6030407O03Rik
ENSMUSG00000032744,0.1162567632774329,9.867277968576603e-267,7.032985009676837e-266,0.10978048898956551,0.12272316690830531,Heyl
ENSMUSG00000052539,0.11619676074389784,1.8609117925411712e-266,1.325435749673199e-265,0.10972039743980733,0.1226632583459625,Magi3
ENSMUSG00000036845,0.11606171756952939,7.749941062812226e-266,5.515972286699092e-265,0.1095851540965186,0.12252842649307946,Lin37
ENSMUSG00000016255,0.1160574194148219,8.109721076778246e-266,5.767938176940431e-265,0.10958084957477157,0.12252413506039334,Tubb1
ENSMUSG00000034401,0.11605382176152662,8.423662876815835e-266,5.986967218774581e-265,0.10957724659230608,0.12252054303339703,Spata6
ENSMUSG00000016984,0.11602223133069055,1.1757603228527733e-265,8.350570474806628e-265,0.10954560937416845,0.12248900199893674,Etaa1
ENSMUSG00000037318,0.11597624240179201,1.910159968562603e-265,1.3556848605838206e-264,0.10949955235639602,0.12244308495727448,Traf3ip3
ENSMUSG00000021365,0.11597242934866811,1.9885647068451504e-265,1.4103295793228018e-264,0.10949573365910774,0.12243927786325207,Nedd9
ENSMUSG00000040413,0.1157618816284781,1.8292309161639667e-264,1.2964074529865107e-263,0.1092848745783274,0.12222905889507937,Timd2
ENSMUSG00000018761,0.11569020713498926,3.8897975644862053e-264,2.7548141391545366e-263,0.10921309422469881,0.1221574961827114,Mpdu1
ENSMUSG00000037628,0.1156214646063298,8.01650051360572e-264,5.673390313946015e-263,0.10914425022974816,0.12208886079940488,Cdkn3
ENSMUSG00000019066,0.11552478755824722,2.2148169926381555e-263,1.5663486510878043e-262,0.10904743058822527,0.12199233433207057,Rab3d
ENSMUSG00000097364,0.11550695405529147,2.6712232188874926e-263,1.8877902606978747e-262,0.10902957079523919,0.12197452859258248,Gm26719
ENSMUSG00000045502,0.1155062407416181,2.6913159391438033e-263,1.900646849677827e-262,0.10902885643009055,0.12197381638932006,Hcar2
ENSMUSG00000070436,0.11546421593864654,4.184722600337915e-263,2.9532269586012107e-262,0.1089867696913695,0.12193185699434252,Serpinh1
ENSMUSG00000087362,0.11537975424285014,1.0156222967960809e-262,7.162357523244575e-262,0.10890218358697865,0.1218475266859964,Gm13710
ENSMUSG00000020044,0.11537959001902331,1.0173740322424766e-262,7.169654913618581e-262,0.10890201912134825,0.12184736271754291,Timp3
ENSMUSG00000090213,0.11535464764625858,1.321716769796423e-262,9.307864576031148e-262,0.10887704002749186,0.12182245912687645,Tmem189
ENSMUSG00000110101,0.11535207758847604,1.3578388523603526e-262,9.555516202395162e-262,0.10887446618643926,0.12181989306473184,Gm6249
ENSMUSG00000032359,0.11521676496099054,5.610293497080277e-262,3.945354076709056e-261,0.10873895449379607,0.12168479068405219,Ctsh
ENSMUSG00000007458,0.11519765926830125,6.85364915308027e-262,4.816338125846992e-261,0.10871982071316588,0.1216657146582031,M6pr
ENSMUSG00000061132,0.11519179164245312,7.288165522976078e-262,5.118093766134887e-261,0.10871394446208106,0.1216598561424981,Blnk
ENSMUSG00000027695,0.11516374193178278,9.777291908409931e-262,6.861257479585917e-261,0.1086858535254194,0.1216318499759034,Pld1
ENSMUSG00000032741,0.11508271661074042,2.283645538786434e-261,1.6014344591770224e-260,0.1086047091757217,0.1215509503798742,Tpcn1
ENSMUSG00000028879,0.11504969845541746,3.2261195184208035e-261,2.260770510456064e-260,0.10857164254048328,0.12151798343337224,Stx12
ENSMUSG00000024805,0.11497654559227247,6.933726518338055e-261,4.855550783149898e-260,0.1084983823194747,0.12144494397430601,Pcgf5
ENSMUSG00000019850,0.11491872174330546,1.269020096501322e-260,8.880476532549488e-260,0.10844047365903052,0.12138720971628567,Tnfaip3
ENSMUSG00000027955,0.11486203596559262,2.294411335035626e-260,1.6044834510738643e-259,0.10838370478175001,0.12133061172373458,Fam198b
ENSMUSG00000024621,0.11470873981856768,1.1365046129495277e-259,7.942030838221717e-259,0.1082301841190251,0.12117755276468194,Csf1r
ENSMUSG00000108434,0.11464288869503282,2.2583091467683195e-259,1.577031527072849e-258,0.10816423664560179,0.12111180343506611,RP23-291B1.2
ENSMUSG00000093803,0.11462649396899088,2.6791727967375625e-259,1.869625119844775e-258,0.10814781794052708,0.12109543404347828,Ppp2r3d
ENSMUSG00000060703,0.1146124509180207,3.101441021675572e-259,2.1627901127444714e-258,0.10813375435290959,0.12108141269016649,Cd302
ENSMUSG00000026628,0.114536401943779,6.849245705113896e-259,4.772993522727454e-258,0.10805759420920759,0.12100548117294661,Atf3
ENSMUSG00000043807,0.11451609916548344,8.461776957296484e-259,5.892602337950197e-258,0.10803726176488626,0.12098520973932364,Ly6g5b
ENSMUSG00000039316,0.11451424564635303,8.626670916809504e-259,6.003250464028882e-258,0.10803540553769966,0.1209833590815008,Rftn1
ENSMUSG00000027111,0.11439788256294148,2.8957369816722454e-258,2.0137253001893222e-257,0.1079188725341978,0.12086717553963723,Itga6
ENSMUSG00000046841,0.11410664906524322,5.964841023197875e-257,4.145129272548906e-256,0.10762721454096849,0.12057639062155634,Ckap4
ENSMUSG00000027346,0.1140867950275376,7.328924388815635e-257,5.089530825566413e-256,0.1076073316050611,0.12055656712410052,Gpcpd1
ENSMUSG00000028479,0.11406769247928478,8.934721241512461e-257,6.196429296587858e-256,0.10758820125731652,0.12053749395525674,Gne
ENSMUSG00000021255,0.1140676867614655,8.935251045679691e-257,6.196429296587858e-256,0.10758819553117696,0.12053748824623066,Esrrb
ENSMUSG00000027074,0.11396818124499501,2.5064200402908066e-256,1.7369508248723538e-255,0.1074885452842556,0.12043813569037601,Slc43a3
ENSMUSG00000043333,0.11386990491146082,6.935391562130302e-256,4.80290274385755e-255,0.1073901261359025,0.1203400103007311,Rhbdl2
ENSMUSG00000018167,0.11383086552647685,1.0388406764025202e-255,7.189208833235435e-255,0.10735103005426665,0.12030103084175638,Stard3
ENSMUSG00000045094,0.113738941228312,2.688397737807068e-255,1.8591962225498395e-254,0.10725897233417292,0.12020924756989788,Arhgef37
ENSMUSG00000032021,0.11360813456784222,1.0387527581004838e-254,7.178664534212052e-254,0.10712797600818723,0.12007864139669494,Crtam
