,Cardiomyocytes_2_corr,Cardiomyocytes_2_pval,Cardiomyocytes_2_qval,Cardiomyocytes_2_ci_low,Cardiomyocytes_2_ci_high,gene_annotation
ENSMUSG00000026393,0.2636307474708306,0.0,0.0,0.25751610249286944,0.2697242794187942,Nek7
ENSMUSG00000030017,0.263542741658236,0.0,0.0,0.25742779534269666,0.2696365809394828,Reg3g
ENSMUSG00000033105,0.26341886572253076,0.0,0.0,0.25730349542086756,0.2695131374311705,Lss
ENSMUSG00000026003,0.2634079846645531,0.0,0.0,0.2572925771303163,0.26950229434733336,Acadl
ENSMUSG00000027848,0.2633582659078476,0.0,0.0,0.25724268826688945,0.2694527490859914,Olfml3
ENSMUSG00000008429,0.26334594200982636,0.0,0.0,0.25723032220918124,0.26944046818765943,Herpud2
ENSMUSG00000022122,0.2632679839618605,0.0,0.0,0.25715209751547097,0.26936278209957104,Ednrb
ENSMUSG00000043153,0.2632186290778238,0.0,0.0,0.2571025738606639,0.26931359935108506,Ispd
ENSMUSG00000018698,0.26321729329441235,0.0,0.0,0.25710123350994035,0.2693122682260577,Lhx1
ENSMUSG00000097097,0.26320370818706224,0.0,0.0,0.25708760195371283,0.26929873049381337,5033426O07Rik
ENSMUSG00000085261,0.2631666223328882,0.0,0.0,0.2570503893115851,0.26926177395622264,Gm13814
ENSMUSG00000074364,0.26314790139754385,0.0,0.0,0.2570316043805838,0.26924311829305825,Ehd2
ENSMUSG00000046782,0.262925156687037,0.0,0.0,0.2568080985940691,0.26902114985048875,Ttc6
ENSMUSG00000036557,0.2628168475221726,0.0,0.0,0.25669941959396336,0.26891321791034534,Stpg4
ENSMUSG00000040505,0.26279898359777126,0.0,0.0,0.25668149468581136,0.26889541618862817,Abcg5
ENSMUSG00000108532,0.262774187014539,0.0,0.0,0.25665661345913726,0.2688707059408885,Gm44905
ENSMUSG00000038612,0.2626957833331506,0.0,0.0,0.2565779421991701,0.2687925751886801,Mcl1
ENSMUSG00000035673,0.26268998661160003,0.0,0.0,0.25657212569760207,0.2687867986427731,Sbno2
ENSMUSG00000048878,0.2626125814831969,0.0,0.0,0.2564944564839539,0.2687096628829495,Hexim1
ENSMUSG00000025158,0.2625600568346524,0.0,0.0,0.2564417526805936,0.26865732097478573,Rfng
ENSMUSG00000022613,0.26251066876747536,0.0,0.0,0.2563921961902641,0.26860810470255025,Miox
ENSMUSG00000073658,0.2624453791602211,0.0,0.0,0.25632668398180536,0.26854304215441643,Crygb
ENSMUSG00000055210,0.26240881953619355,0.0,0.0,0.2562899997343701,0.26850660965030737,Foxd2
ENSMUSG00000048498,0.26234305250054096,0.0,0.0,0.25622400855828864,0.2684410712465078,Cd300e
ENSMUSG00000002233,0.2623246190478403,0.0,0.0,0.25620551229282956,0.26842270186554545,Rhoc
ENSMUSG00000048402,0.2622927630818726,0.0,0.0,0.25617354778689316,0.2683909566153742,Gli2
ENSMUSG00000026835,0.2622625552706479,0.0,0.0,0.2561432370636711,0.2683608537795292,Fcnb
ENSMUSG00000085237,0.26220215496067506,0.0,0.0,0.2560826310179558,0.26830066333138813,Gm15406
ENSMUSG00000002111,0.2621941047432895,0.0,0.0,0.25607455338352575,0.2682926410810141,Spi1
ENSMUSG00000001983,0.262191024640835,0.0,0.0,0.2560714627912319,0.26828957167882456,Taco1
ENSMUSG00000106464,0.2621596583968274,0.0,0.0,0.25603998973099973,0.2682583143939868,C130083M11Rik
ENSMUSG00000025757,0.2619770978632786,0.0,0.0,0.2558568077539099,0.26807638777917714,Hspa4l
ENSMUSG00000026586,0.2619661307984705,0.0,0.0,0.25584580337075813,0.2680654587822861,Prrx1
ENSMUSG00000067998,0.26188211258438954,0.0,0.0,0.2557614993150642,0.2679817321528077,Bpifb9a
ENSMUSG00000027403,0.2618620235706961,0.0,0.0,0.255741341969551,0.267961712844242,Tgm6
ENSMUSG00000058755,0.26184160843102916,0.0,0.0,0.25572085739421463,0.2679413685359026,Osm
ENSMUSG00000029378,0.2618014584893712,0.0,0.0,0.2556805709112058,0.2679013578805656,Areg
ENSMUSG00000023084,0.26179994604226037,0.0,0.0,0.2556790533210018,0.26789985067995525,Lrrc71
ENSMUSG00000110697,0.26172133138772247,0.0,0.0,0.25560017137799457,0.2678215086892585,RP23-312B17.2
ENSMUSG00000033255,0.2616750361296662,0.0,0.0,0.2555537187549886,0.2677753739620368,Gm5134
ENSMUSG00000022025,0.2615422693045336,0.0,0.0,0.2554205007910419,0.267643067356537,Lect1
ENSMUSG00000033610,0.2614651284430871,0.0,0.0,0.25534309791337506,0.2675661937885881,Pank1
ENSMUSG00000091735,0.2613625428404236,0.0,0.0,0.2552401639905932,0.267463963525263,Gpr62
ENSMUSG00000096991,0.26131758059173543,0.0,0.0,0.255195049120406,0.2674191569749758,Gm26789
ENSMUSG00000085486,0.26129674967070415,0.0,0.0,0.2551741474991724,0.2673983981797621,Gm11634
ENSMUSG00000063142,0.26124772914671984,0.0,0.0,0.25512496062197426,0.26734954736406213,Kcnma1
ENSMUSG00000021281,0.261104147148985,0.0,0.0,0.2549808915550195,0.26720646226447464,Tnfaip2
ENSMUSG00000048076,0.2610687600666257,0.0,0.0,0.2549453844718026,0.2671711976058281,Arf1
ENSMUSG00000029816,0.2610555540760494,0.0,0.0,0.2549321337027263,0.2671580372979725,Gpnmb
ENSMUSG00000034875,0.2610439620032595,0.0,0.0,0.25492050232575875,0.26714648532309465,Nudt19
ENSMUSG00000054150,0.2609253595885652,0.0,0.0,0.25480149787855105,0.2670282930629184,Syne3
ENSMUSG00000040562,0.26087643853753983,0.0,0.0,0.2547524110514387,0.26697954113869177,Gstm2
ENSMUSG00000110613,0.2607923692131444,0.0,0.0,0.25466805691964484,0.26689576238054297,RP23-143B2.2
ENSMUSG00000062727,0.260779257204291,0.0,0.0,0.2546549004987443,0.2668826956820107,Hist1h2bk
ENSMUSG00000029491,0.260675523359477,0.0,0.0,0.2545508153740795,0.26677932022443357,Pde6b
ENSMUSG00000039913,0.2606405488883732,0.0,0.0,0.2545157224989107,0.26674446655401785,Pak7
ENSMUSG00000036246,0.2605550395424587,0.0,0.0,0.2544299237339418,0.26665925248737304,Gmip
ENSMUSG00000057400,0.26047560740238695,0.0,0.0,0.25435022283040487,0.2665800945553738,Ces1c
ENSMUSG00000037542,0.2604528217142802,0.0,0.0,0.25432736006089685,0.2665573875106503,Aldh8a1
ENSMUSG00000102820,0.2604386194573449,0.0,0.0,0.2543131097627991,0.2665432342684919,Gm38353
ENSMUSG00000033007,0.2603910273403271,0.0,0.0,0.25426535667803896,0.2664958063820201,Asic4
ENSMUSG00000018570,0.2603648521054117,0.0,0.0,0.254239092925049,0.26646972145982184,2810408A11Rik
ENSMUSG00000097158,0.26033828386016356,0.0,0.0,0.2542124348419033,0.26644324487415366,Gm26516
ENSMUSG00000029564,0.26026416518611406,0.0,0.0,0.2541380655920826,0.2663693818584097,4930519G04Rik
ENSMUSG00000052471,0.26024809717480935,0.0,0.0,0.2541219432686062,0.2663533692612045,Gm9881
ENSMUSG00000028121,0.2600571742223202,0.0,0.0,0.25393037522985457,0.26616310449093517,Bcar3
ENSMUSG00000053617,0.26002329621285836,0.0,0.0,0.2538963828043354,0.26612934322183274,Sh3pxd2a
ENSMUSG00000106245,0.260017645493058,0.0,0.0,0.2538907130018558,0.2661237119724111,Gm43824
ENSMUSG00000061577,0.2599902175185997,0.0,0.0,0.2538631924081466,0.2660963784991156,Adgrg5
ENSMUSG00000022964,0.2599825422237906,0.0,0.0,0.2538554911970478,0.2660887296472382,Tmem50b
ENSMUSG00000021069,0.2599721228579343,0.0,0.0,0.2538450366505542,0.26607834617695897,Pygl
ENSMUSG00000022831,0.25993935248791533,0.0,0.0,0.2538121556418183,0.2660456886943378,Hcls1
ENSMUSG00000029761,0.2599374465936133,0.0,0.0,0.253810243313307,0.2660437893650307,Cald1
ENSMUSG00000036006,0.25990024512058413,0.0,0.0,0.25377291625945086,0.26600671602575304,Fam65b
ENSMUSG00000021217,0.2598506248495823,0.0,0.0,0.25372312851395273,0.26595726663469216,Tshz3
ENSMUSG00000048385,0.2598257663973553,0.0,0.0,0.25369818617360984,0.26593249377674355,Scrt1
ENSMUSG00000039997,0.25976537210522155,0.0,0.0,0.2536375881069434,0.26587230740465667,Ifi203
ENSMUSG00000054905,0.259728585347592,0.0,0.0,0.25360067725181196,0.26583564726984227,Stfa3
ENSMUSG00000046404,0.2597212684101644,0.0,0.0,0.2535933356333458,0.2658283555157633,Yod1
ENSMUSG00000029627,0.25962930811361834,0.0,0.0,0.2535010652022369,0.2657367116674943,Zkscan14
