,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000027613,0.6581707133076773,0.0,0.0,0.654436308727233,0.6618730092021573,Eif6
ENSMUSG00000032518,0.6407618197277666,0.0,0.0,0.6368788761708707,0.6446122568227208,Rpsa
ENSMUSG00000039191,0.6370483402692224,0.0,0.0,0.6331342330804062,0.6409298692165836,Rbpj
ENSMUSG00000021039,0.6222374802548748,0.0,0.0,0.6182009022337375,0.6262412386162157,Snw1
ENSMUSG00000024222,0.6162901234388546,0.0,0.0,0.6122051866781589,0.6203421635265922,Fkbp5
ENSMUSG00000066900,0.6141697910460617,0.0,0.0,0.6100677271707406,0.6182389335196634,Suds3
ENSMUSG00000031819,0.6086328499996358,0.0,0.0,0.6044863426447408,0.6127463780882708,Emc8
ENSMUSG00000042419,0.6062618872536457,0.0,0.0,0.6020964733208591,0.6103943000937063,Nfkbil1
ENSMUSG00000030980,0.6058859236489195,0.0,0.0,0.6017175185558153,0.6100213243501167,Knop1
ENSMUSG00000044533,0.6057462411576627,0.0,0.0,0.6015767252310871,0.6098827514778501,Rps2
ENSMUSG00000026238,0.6054480523475544,0.0,0.0,0.6012761659231886,0.6095869305933231,Ptma
ENSMUSG00000045128,0.5996741485853512,0.0,0.0,0.5954565943606447,0.603858650289468,Rpl18a
ENSMUSG00000047139,0.5948830983700655,0.0,0.0,0.5906279860597338,0.599105129207614,Cd24a
ENSMUSG00000026646,0.5873616944040364,0.0,0.0,0.5830482348025384,0.5916420412838407,Suv39h2
ENSMUSG00000022674,0.5809126014769854,0.0,0.0,0.5765497109369537,0.5852423661738115,Ube2v2
ENSMUSG00000028670,0.5785163928337409,0.0,0.0,0.5741352764991516,0.5828643816362583,Lypla2
ENSMUSG00000024642,0.574590283480471,0.0,0.0,0.5701794694709411,0.578967970895299,Tle4
ENSMUSG00000029910,0.5744067428784189,0.0,0.0,0.5699945455448941,0.5787858137732121,Mad2l1
ENSMUSG00000034889,0.571270168887048,0.0,0.0,0.5668344006513537,0.5756728148912865,Cactin
ENSMUSG00000020572,0.5686512630461203,0.0,0.0,0.5641959141052297,0.5730734954924499,Nampt
ENSMUSG00000005732,0.5673740833040717,0.0,0.0,0.5629092183160939,0.5718058353264255,Ranbp1
ENSMUSG00000037031,0.5649192901515284,0.0,0.0,0.5604361956916034,0.5693692797697597,Tspan15
ENSMUSG00000035024,0.5647751558781667,0.0,0.0,0.5602909935514702,0.5692262138948839,Ncapd3
ENSMUSG00000028430,0.5640946328857418,0.0,0.0,0.5596054324003007,0.5685507316534784,Nol6
ENSMUSG00000020534,0.563538103556448,0.0,0.0,0.5590447874489469,0.5679983201664789,Shmt1
ENSMUSG00000000384,0.5633915023270584,0.0,0.0,0.558897102764103,0.5678528029924016,Tbrg4
ENSMUSG00000021364,0.563090166435385,0.0,0.0,0.5585935407467532,0.5675536944790337,Elovl2
ENSMUSG00000061983,0.5626591243412852,0.0,0.0,0.5581593164134149,0.5671258364618739,Rps12
ENSMUSG00000003970,0.5609165188878007,0.0,0.0,0.5564038710121352,0.56539607893546,Rpl8
ENSMUSG00000031774,0.558507380853348,0.0,0.0,0.553977048193471,0.563004638164534,Fam192a
ENSMUSG00000021720,0.5572973214968531,0.0,0.0,0.5527581351881028,0.5618034393570113,Rnf180
ENSMUSG00000043716,0.5572211067570455,0.0,0.0,0.5526813634576097,0.5617277820566032,Rpl7
ENSMUSG00000021646,0.5546449453070907,0.0,0.0,0.5500864202845503,0.5591704184785155,Mccc2
ENSMUSG00000055612,0.55390625876061,0.0,0.0,0.5493423645204247,0.55843710613122,Cdca7
ENSMUSG00000025068,0.5531446435927617,0.0,0.0,0.5485752210537145,0.5576810245618193,Gsto1
ENSMUSG00000004356,0.5530917065838076,0.0,0.0,0.5485219000794337,0.5576284718927074,Utp20
ENSMUSG00000002489,0.5505506018548052,0.0,0.0,0.5459624077974276,0.5551057736343046,Tiam1
ENSMUSG00000061477,0.5475316921840212,0.0,0.0,0.5429217644619825,0.5521086224882344,Rps7
ENSMUSG00000071654,0.546776658255375,0.0,0.0,0.5421613138053087,0.5513590119085457,Uqcc3
ENSMUSG00000075232,0.5455600878937737,0.0,0.0,0.540936031487827,0.5501511645095253,Amd1
ENSMUSG00000019891,0.5447986188136004,0.0,0.0,0.5401691194550053,0.5493951454834852,Dcbld1
ENSMUSG00000037526,0.5434899807750553,0.0,0.0,0.5388511452826988,0.5480958561640458,Atg14
ENSMUSG00000037316,0.5419390231541569,0.0,0.0,0.537289152169169,0.5465559495738285,Bag4
ENSMUSG00000039001,0.5409430242631376,0.0,0.0,0.5362860832897108,0.5455670310046109,Rps21
ENSMUSG00000036768,0.5396406847767815,0.0,0.0,0.5349745191350658,0.5442739301161419,Kif15
ENSMUSG00000051495,0.53701476931596,0.0,0.0,0.5323300723047381,0.5416665755472756,Irf2bp2
ENSMUSG00000090862,0.5312579349113424,0.0,0.0,0.5265329312189716,0.5359501192246748,Rps13
ENSMUSG00000048330,0.5305229366381301,0.0,0.0,0.5257928184593389,0.5352202452104927,Ric3
ENSMUSG00000097415,0.5301869166297242,0.0,0.0,0.5254544626408367,0.534886565529248,AU020206
ENSMUSG00000012848,0.5283739641929931,0.0,0.0,0.5236289334680724,0.5330862147326335,Rps5
ENSMUSG00000027238,0.5261017819781182,0.0,0.0,0.5213410502937725,0.530829765955561,Frmd5
ENSMUSG00000042148,0.5258436834486651,0.0,0.0,0.5210811726116169,0.5305734503568736,Cox10
ENSMUSG00000078484,0.5231327737121229,0.0,0.0,0.5183516290854081,0.5278812151835722,Klhl17
ENSMUSG00000021245,0.5225240865629116,0.0,0.0,0.5177387714382534,0.5272767079605879,Mlh3
ENSMUSG00000060743,0.5209321061628369,0.0,0.0,0.5161359065998582,0.5256956371302473,H3f3a
ENSMUSG00000035575,0.5208778010165312,0.0,0.0,0.5160812307594465,0.5256417035473596,Utp6
ENSMUSG00000022034,0.5196886501397162,0.0,0.0,0.5148839723811834,0.5244606794065333,Esco2
ENSMUSG00000041859,0.5170224332079563,0.0,0.0,0.512199645594761,0.521812616833553,Mcm3
ENSMUSG00000038069,0.5165275391272475,0.0,0.0,0.5117014003920776,0.5213210823446556,Cdkn2aip
ENSMUSG00000027698,0.5164500132819373,0.0,0.0,0.5116233498829371,0.5212440824959075,Nceh1
ENSMUSG00000026095,0.5158360176699055,0.0,0.0,0.5110052018085263,0.5206342499579328,Asnsd1
ENSMUSG00000029623,0.515787835981953,0.0,0.0,0.5109566944784555,0.5205863947490729,Pdap1
ENSMUSG00000042688,0.5156228362836421,0.0,0.0,0.5107905798416142,0.5204225128602217,Mapk6
ENSMUSG00000032633,0.5155778339694214,0.0,0.0,0.5107452734996817,0.5203778153579934,Flcn
ENSMUSG00000042606,0.5138043109798247,0.0,0.0,0.5089597902732637,0.5186162839422672,Hirip3
ENSMUSG00000042210,0.5129995464382245,0.0,0.0,0.5081496123316058,0.5178169472958541,Abhd14a
ENSMUSG00000025153,0.5127166804412782,0.0,0.0,0.5078648456219668,0.5175359871472456,Fasn
ENSMUSG00000090626,0.5121373627115383,0.0,0.0,0.5072816384874607,0.5169605694063315,Tex9
ENSMUSG00000022247,0.5120605265061398,0.0,0.0,0.5072042867556882,0.5168842501377632,Brix1
ENSMUSG00000001518,0.5110815975788539,0.0,0.0,0.5062187966314028,0.5159119005139117,Itfg2
ENSMUSG00000029454,0.5104614971699336,0.0,0.0,0.5055945466166739,0.5152959613111598,Mapkapk5
ENSMUSG00000026098,0.5103439980067274,0.0,0.0,0.5054762617434416,0.5151792500674899,Pms1
ENSMUSG00000090553,0.5096057638408706,0.0,0.0,0.5047330952347965,0.5144459622097387,Snrpe
ENSMUSG00000040188,0.5085826528279714,0.0,0.0,0.5037031604798634,0.5134296945303305,Scamp2
ENSMUSG00000024556,0.5079273602379262,0.0,0.0,0.5030435046372191,0.5127787778854828,Me2
ENSMUSG00000025794,0.5066979433672105,0.0,0.0,0.5018059170712383,0.5115575558268162,Rpl14
ENSMUSG00000026234,0.5055094420459357,0.0,0.0,0.5006095360190163,0.5103769579266294,Ncl
ENSMUSG00000024646,0.5039284864406007,0.0,0.0,0.49901812773020704,0.5088064870889458,Cyb5a
ENSMUSG00000021048,0.5039260049916745,0.0,0.0,0.49901562990090653,0.5088040220712646,Mthfd1
ENSMUSG00000022159,0.5026620265566966,0.0,0.0,0.49774331838162017,0.50754840284078,Rab2b
ENSMUSG00000021023,0.50258330778681,0.0,0.0,0.49766408133939816,0.5074702039836855,1110008L16Rik
ENSMUSG00000048058,0.5018090851113929,0.0,0.0,0.4968847656752831,0.5067010905170011,Ldlrad3
ENSMUSG00000044147,0.5011973792600802,0.0,0.0,0.49626904151932416,0.5060934158954836,Arf6
ENSMUSG00000002996,0.4999150045025239,0.0,0.0,0.49497825891446484,0.5048194763955828,Hbp1
ENSMUSG00000022283,0.49987378501301083,0.0,0.0,0.4949367695321756,0.5047785276869473,Pabpc1
ENSMUSG00000035954,0.498577675446395,0.0,0.0,0.4936321849139354,0.5034909213210328,Dock4
ENSMUSG00000062075,0.49844553329795416,0.0,0.0,0.4934991799595438,0.5033596448727381,Lmnb2
ENSMUSG00000086859,0.49824321526695414,0.0,0.0,0.49329554136603604,0.5031586518441512,Snhg20
ENSMUSG00000006920,0.49623214143234995,0.0,0.0,0.4912713704143438,0.5011607198319586,Ezh1
ENSMUSG00000061787,0.4932113464526554,0.0,0.0,0.48823100319796237,0.4981595661861885,Rps17
ENSMUSG00000092417,0.49302632161155857,0.0,0.0,0.4880447834789491,0.49797574053092153,Gpank1
ENSMUSG00000064181,0.49241773827870283,0.0,0.0,0.4874322731551899,0.49737109842001415,Rab3ip
ENSMUSG00000057177,0.4916824717345116,0.0,0.0,0.4866922687192009,0.49664058708662845,Gsk3a
ENSMUSG00000019470,0.49166650590441363,0.0,0.0,0.4866762000883385,0.4966247244348892,Xab2
ENSMUSG00000021811,0.49044772102831574,0.0,0.0,0.48544957766963315,0.4954138061167324,Dnajc9
ENSMUSG00000026189,0.4899325703012541,0.0,0.0,0.48493112012025175,0.49490197458923413,Pecr
ENSMUSG00000097077,0.48946201257920285,0.0,0.0,0.48445754489655996,0.49443444573333223,Gm16712
ENSMUSG00000028607,0.4874604083104954,0.0,0.0,0.48244313790047155,0.4924456931577509,Cpt2
ENSMUSG00000027203,0.48707471541107533,0.0,0.0,0.48205498411770714,0.492062470692994,Dut
