,Endothelial/Mixed_corr,Endothelial/Mixed_pval,Endothelial/Mixed_qval,Endothelial/Mixed_ci_low,Endothelial/Mixed_ci_high,gene_annotation
ENSMUSG00000057322,0.31663083746264625,0.0,0.0,0.3058475125432494,0.32733293816566794,Rpl38
ENSMUSG00000057388,0.3164162114402715,0.0,0.0,0.3056312858979409,0.3271199555679079,Mrpl18
ENSMUSG00000021024,0.31602756130932264,0.0,0.0,0.30523974015018523,0.3267342786235495,Psma6
ENSMUSG00000035530,0.31060886630087736,0.0,0.0,0.2997810533723826,0.32135666534936547,Eif1
ENSMUSG00000032518,0.3085980455045743,0.0,0.0,0.29775557240168365,0.31936091318506654,Rpsa
ENSMUSG00000000740,0.30838234949670956,0.0,0.0,0.2975383096285943,0.319146827883707,Rpl13
ENSMUSG00000057863,0.30660821479100714,0.0,0.0,0.2957513306359124,0.3173858998186467,Rpl36
ENSMUSG00000032399,0.3048307638668357,0.0,0.0,0.2939610876108563,0.3156216056816767,Rpl4
ENSMUSG00000037601,0.30475722459785065,0.0,0.0,0.29388702073147516,0.3155486091469701,Nme1
ENSMUSG00000032959,0.30203649356623413,0.0,0.0,0.2911468614595024,0.31284786786947877,Pebp1
ENSMUSG00000098274,0.2996973052510527,0.0,0.0,0.28879111226851806,0.3105257262584727,Rpl24
ENSMUSG00000024844,0.2996504360711116,0.0,0.0,0.28874391261586635,0.3104791973142863,Banf1
ENSMUSG00000063888,0.2978440114364155,0.0,0.0,0.2869247913506033,0.30868584645215663,Rpl7l1
ENSMUSG00000029649,0.29735588131669394,0.0,0.0,0.2864332438758158,0.30820123588413056,Pomp
ENSMUSG00000070493,0.29682146922593916,0.0,0.0,0.28589509700760235,0.3076706705961814,Chchd2
ENSMUSG00000028010,0.29615214832144776,0.0,0.0,0.2852211082267816,0.3070061580779205,Gar1
ENSMUSG00000037894,0.29337261386117436,0.0,0.0,0.2824223048173801,0.3042464784940196,H2afz
ENSMUSG00000025794,0.2873497466536249,0.0,0.0,0.27635832402541144,0.29826600774698697,Rpl14
ENSMUSG00000060126,0.28719053636055925,0.0,0.0,0.2761980387958685,0.29810790654585845,Tpt1
ENSMUSG00000093674,0.28497244209741185,0.0,0.0,0.2739650322764492,0.2959052016798482,Rpl41
ENSMUSG00000036398,0.2846115370572124,0.0,0.0,0.27360171209616607,0.2955467896424291,Ppp1r11
ENSMUSG00000017404,0.2820111887424689,0.0,0.0,0.2709840553791042,0.2929643126060634,Rpl19
